,0
0,“不要光赞美高耸的山峰，平原和丘陵也一样不朽”
1,新一代的兵忘了首长本也从人民中来的
2,“不知道什么原因”
3,“他公平”
4,那在时时代已经快把他遗忘，但所有人但还记得他
5,《公平》
6,这个拍成电影或电视剧会更火！
7,卧槽二舅好牛逼
8,这个情节太真实了，说不上是人情，无奈还是看开
9,首长：谢谢嗷
10,他公平
11,办不下来也是因为只有他公平
12,我们国家真的在进步，会越来越公平
13,公平！
14,i了i了“只爱干活”
15,他在尽力让大家感到公平
16,可是太阳陨落了
17,轻描淡写，但愿你们每个人都活成二舅一样，哈哈哈
18,蚌
19,小镇错题家的公平
20,他公平
21,他公平
22,只有永远被待不公的人才会相信公平
23,绷
24,《公平》
25,敬二舅
26,公平！
27,锈
28,首长：糟了！我成搓背的了
29,他公平
30,汲取力量
31,不！不！不！
32,致敬二舅
33,这是作者要表达的观点
34,全世界无产者，联合起来！
35,从苦难者身上汲取力量，又有谁去在意苦难者的苦难？
36,他公平
37,刷好几遍了，还是想看
38,对首长的肯定
39,首长：谢谢夸奖
40,他是公平的，只是时代不公平
41,公平
42,你们怎么办，只有天知道
43,你们怎么办，只有天知道
44,敬二舅
45,敬二舅
46,阿甘正传啊
