,content,count,emo
0,泰裤辣,23,3
1,要来力,12,3
2,开始吟唱,7,4
3,董明珠,7,2
4,正在拉,6,3
5,那可太好了,6,2
6,笑死了,6,2
7,会员制演唱会,6,2
8,这是谁,5,3
9,らくく,4,3
10,逆天,4,1
11,笑死我了,4,2
12,拉裤裤,4,5
13,拜登,4,5
14,泰酷辣,4,3
15,活字乱刷术,4,3
16,裤裤突然激动,3,5
17,开幕雷击,3,0
18,原声大碟,3,3
19,最喜爱的一集,3,5
20,离谱,3,2
21,拉裤裤突然激动,3,5
22,太酷了,3,3
23,库兹马,3,3
24,过分了吧,2,1
25,らくく了,2,3
26,拉裤裤激动,2,5
27,笑死,2,2
28,这是一种时尚,2,5
29,那可泰好了,2,3
30,聚众拉裤,2,2
31,绷不住了,2,2
32,正拉呢,2,3
33,嬉皮笑脸,2,4
34,红红火火恍恍惚惚,2,5
35,满面油光,2,2
36,那可太臭了,2,0
37,那可苔嚎了,2,3
38,锁子甲,2,1
39,做阴乐,2,3
40,公共厕所现状,2,4
41,拉给你们,2,3
42,たいくら,2,3
43,没有即答,2,3
44,肖战,2,4
45,嬉 皮 笑 脸,2,3
46,タイクラ,2,3
47,拉ing,2,3
48,拉裤子乐队,2,3
49,新裤子,2,4
50,我一样,2,3
51,这是男的女的,2,3
52,火钳刘明,2,4
53,正拉着呢,2,3
54,他是谁,2,3
55,憋不住了,2,0
56,时尚,2,5
57,泰裤啦,1,3
58,要来为喜,1,3
59,黑火 也是火吗,1,1
60,拉裤啦,1,3
61,褲子哥哥,1,5
62,史感,1,3
63,太恶心了,1,0
64,笑鼠,1,3
65,拉大便,1,3
66,坤坤你还是起开吧,1,1
67,辣裤辣,1,3
68,这谁,1,3
69,我看谁敢提库里,1,2
70,好好,1,3
71,好油,1,3
72,随地大小便,1,4
73,那可泰裤拉,1,5
74,突 发 恶 疾,1,2
75,囗区,1,3
76,哎哟笑死我了,1,1
77,物种多样性,1,4
78,裤裤什么玩意,1,5
79,确实在拉,1,3
80,沼气最大的一集,1,2
81,我还在吃饭,1,3
82,我每天都会看答辩,1,3
83,在拉在拉,1,2
84,妖怪,1,3
85,我憋不住了先拉裤了,1,0
86,演唱会秒变公共厕所,1,2
87,特意回来投个币,1,3
