,content,count,emo
0,社牛,6,2
1,尖叫声鸣笛,2,2
2,牙齿真好,2,2
3,后面,1,3
4,王耀庆,1,4
5,怎么感觉还有点像小鬼,1,4
6,社交恐怖分子,1,4
7,已经在扰民了,1,1
8,救命这怎么背下来的,1,4
9,沙暴送葬,1,2
10,nb,1,3
11,重点强调,1,3
12,我想怼你,1,3
13,牙真好,1,4
14,影响人管你屁事,1,1
15,后面老哥一直盯着看,1,3
16,你币有了,1,3
17,举报点踩拉黑三连,1,2
18,社交牛逼,1,4
19,神经病,1,1
20,扰民,1,1
21,车上啥卵 衮,1,3
22,大型社死现场,1,0
23,给你了车叫声,1,1
24,中专烂梗背nm,1,2
25,后面的路人都惊呆了,1,4
26,怕up被创死,1,1
27,泰酷辣,1,3
28,差一点匹配成功,1,5
29,开始吟唱,1,4
30,华人街区的神,1,5
31,要来力,1,3
32,居然全文背诵,1,4
33,后面开始吃瓜了,1,3
34,后面的人,1,3
35,汽车都忍不住尖叫,1,2
36,看车,1,3
37,挖槽牛逼,1,4
38,尖叫声车喇叭,1,0
39,张东升,1,1
40,社牛大佬,1,4
41,青蛙伞真是太酷啦,1,4
42,看到最后,1,3
43,法老,1,3
44,wc nb,1,2
45,社死,1,1
46,好想你呀,1,3
47,全程看后面人反应,1,2
48,车喇叭,1,2
49,连够都顿了一下,1,2
50,前摇过长,1,3
51,大家都等着泰裤辣,1,3
52,明星吧,1,4
53,有一个人前来买瓜,1,3
