,content,count,emo
0,泰裤辣,21,3
1,要来力,12,3
2,开始吟唱,7,4
3,董明珠,6,2
4,笑死了,6,2
5,正在拉,6,3
6,那可太好了,6,2
7,会员制演唱会,6,2
8,这是谁,5,3
9,泰酷辣,4,3
10,らくく,4,3
11,拉裤裤,4,5
12,笑死我了,4,2
13,逆天,4,1
14,拜登,4,5
15,活字乱刷术,4,3
16,最喜爱的一集,3,5
17,库兹马,3,3
18,原声大碟,3,3
19,拉裤裤突然激动,3,5
20,太酷了,3,3
21,离谱,3,2
22,开幕雷击,3,0
23,裤裤突然激动,3,5
24,肖战,2,4
25,正拉着呢,2,3
26,拉ing,2,3
27,聚众拉裤,2,2
28,らくく了,2,3
29,拉裤裤激动,2,5
30,那可苔嚎了,2,3
31,拉给你们,2,3
32,たいくら,2,3
33,红红火火恍恍惚惚,2,5
34,嬉皮笑脸,2,4
35,笑死,2,2
36,新裤子,2,4
37,没有即答,2,3
38,锁子甲,2,1
39,那可泰好了,2,3
40,拉裤子乐队,2,3
41,我一样,2,3
42,满面油光,2,2
43,这是男的女的,2,3
44,タイクラ,2,3
45,火钳刘明,2,4
46,憋不住了,2,0
47,他是谁,2,3
48,绷不住了,2,2
49,正拉呢,2,3
50,公共厕所现状,2,4
51,这是一种时尚,2,5
52,嬉 皮 笑 脸,2,3
53,过分了吧,2,1
54,那可太臭了,2,0
55,做阴乐,2,3
56,刚拉完,1,3
57,这是一种痔疮,1,4
58,现在拉稀中,1,3
59,别拉我手机里,1,3
60,拜登直呼自己人,1,5
61,一睹芳容,1,4
62,我每天都会看答辩,1,3
63,拉裤子了还很骄傲是吧,1,5
64,脸上三斤辣椒油,1,1
65,重口味,1,3
66,救命,1,4
67,就尬聊呗,1,2
68,shi感,1,4
69,上厕所刚好刷到,1,0
70,拉裤裤骄傲,1,5
71,刚蹲下,1,3
72,董明珠别来沾边,1,4
73,拉可泰裤拉,1,5
74,褲子哥哥,1,5
75,坤坤你还是起开吧,1,1
76,前卫文学你币有了,1,2
77,我刚好在吃东西,1,4
78,在吃雪糕,1,1
79,吗粽他好帅,1,2
80,比原版通顺多了,1,1
81,吗粽 ,1,3
82,妈呀救命,1,4
83,我还在吃饭,1,3
84,黑火 也是火吗,1,1
85,太恶心了,1,0
86,笑鼠,1,3
87,辣裤辣,1,3
88,要来为喜,1,3
89,这谁,1,3
90,我看谁敢提库里,1,2
91,随地大小便,1,4
92,沼气最大的一集,1,2
93,囗区,1,3
94,他在说什么,1,2
95,物种多样性,1,4
96,裤裤什么玩意,1,5
97,好好,1,3
98,泰裤啦,1,3
99,哎哟笑死我了,1,1
100,活字乱印术,1,1
101,有 问 必 答,1,0
102,我也在拉,1,3
103,拉大便,1,3
104,难绷,1,3
105,てクラ,1,3
106,确实管不着,1,2
107,这是去油里面憋气了吗,1,1
108,什么牛马,1,3
109,这是现场,1,1
110,好迂腐,1,5
111,脸上抹猪油,1,1
112,这就是原版,1,2
113,能者先赏,1,2
114,逆天了,1,1
115,叠词词恶心心,1,4
116,拉裤啦,1,3
117,确实在拉,1,3
118,那可太好了X2,1,2
119,突 发 恶 疾,1,2
120,好油,1,3
121,史感,1,3
122,那可泰裤拉,1,5
123,在拉在拉,1,2
124,心脏骤停,1,4
125,白绝什么是便意,1,3
126,台下惊讶的叫声,1,4
127,那 可 泰 好 了,1,2
128,老八演唱会,1,2
129,格力电器下乡,1,4
130,らくくら,1,3
131,我憋不住了先拉裤了,1,0
132,不 你不知道,1,1
133,笑叉气了,1,3
134,md我正好在上大号,1,3
135,在拉,1,3
136,恶恶心心,1,2
137,臭气熏天,1,1
138,正在拉裤裤,1,5
139,放大招,1,1
140,md,1,3
141,反便秘协会会长,1,4
142,开局高能,1,2
143,公 共 厕 所,1,1
144,钻石乔兹既视感,1,1
145,这个必火都给我点赞,1,5
146,裤突然激动子,1,5
147,难以置信,1,3
148,拉裤裤啦,1,5
149,拉史福德,1,3
150,挺时尚的,1,5
151,恭喜,1,4
152,我在吃螺蛳粉恼,1,4
153,住医院超大声,1,1
154,拜 登,1,5
155,我天这是能说的嘛,1,2
156,byd还很自豪是吧,1,5
157,拉裤里还在笑的屑小鬼,1,3
158,食雪悲,1,5
159,带裤拉,1,2
160,来辣,1,3
161,呵呵,1,4
162,正在吃饭,1,3
163,tm我便秘可以吧,1,3
164,世风日下,1,1
165,来了,1,3
166,前面的我也在拉这呢,1,3
167,现场一股大便味,1,0
168,我给你个大拇哥,1,3
169,如约而至的出现,1,3
170,便秘肠梗阻康复大会,1,4
171,好味大,1,3
172,什么玩意,1,0
173,拉库里啦,1,2
174,救命笑死了,1,4
175,雪国,1,3
176,恶臭饭圈确信,1,0
177,鞋 狗,1,2
178,我在吃饭焯,1,4
179,辣辣辣,1,3
180,绷不住了笑死我了,1,2
181,wc他是预言家刀了,1,4
182,那可泰好辣,1,3
183,草现在正窜着,1,4
184,你吼辣么大声干什么辣,1,0
185,救命正在吃饭,1,4
186,辩 论 会,1,0
187,两眼一黑,1,2
188,ぁくくり了,1,3
189,拜　王　琳凯,1,5
190,第一句就忍不住了,1,3
191,谢邀拉着呢,1,3
192,准备拉,1,3
193,拉了天天拉,1,4
194,byd拉裤还笑是吧,1,2
195,小胖直呼内行,1,3
196,副科级付款计划科技,1,1
197,泰酷辣1,1,1
198,哇我终于看到正版了,1,4
199,那可太耗勒,1,5
200,拉给你,1,3
201,这是谁 不认识,1,2
202,晚上憋笑很痛苦的,1,4
203,库兹马狂喜,1,3
204,这是在说啥,1,2
205,看着拉是吧,1,3
206,自拉自的是吧,1,3
207,八的传人,1,3
208,大型答辩现场,1,1
209,巧了正在拉,1,5
210,拉突然激动,1,4
211,实现排便自由,1,5
212,好2b,1,3
213,男的还女的,1,3
214,不用了谢谢,1,2
215,开头就没蚌住,1,2
216,台下ZZ是多,1,4
217,律师函,1,5
218,牛逼,1,4
219,剑魔,1,5
220,太生草了,1,4
221,是雪吧,1,4
222,你不知道,1,2
223,拉裤裤の小曲儿,1,5
224,笑发财了,1,4
225,LKK,1,3
226,0113,1,3
227,拜稀宗直呼内行,1,5
228,食尚,1,5
229,比大庆油田还多油,1,1
230,大型拖出現場,1,4
231,臭小鬼,1,1
232,拉    1,1,1
233,蚌埠住了,1,3
234,有安慰,1,3
235,规律排便,1,3
236,OK,1,1
237,Yes,1,3
238,酷子,1,3
239,看标题都没甭住,1,0
240,狂人日记,1,4
241,笑到打滚,1,2
242,真的笑裂,1,3
243,做  大  便,1,4
244,他这么这样说话了,1,2
245,好ex,1,3
246,枕套,1,2
247,突然激动,1,4
248,那可态好玩了,1,4
249,原神怎么你了,1,3
250,妖怪,1,3
251,演唱会秒变公共厕所,1,2
252,特意回来投个币,1,3
253,真的笑得肚子疼,1,2
254,拉裤裤泰裤了,1,5
255,正拉呢别急,1,2
256,现在的人都好无聊,1,2
257,这人辱女辱女,1,3
258,够逆天,1,2
259,什么垃圾歌词,1,2
260,自己热爱的便便上,1,5
261,正准备拉呢,1,3
262,盲猜拉裤裤,1,5
263,我认为这个目前最搞笑,1,2
264,台下被熏的直叫唤,1,0
265,张瀚同款油脸,1,1
266,我串了悲,1,5
267,不行了,1,1
268,互扔吧,1,0
269,大便超人,1,4
270,拉给她们她们喜欢,1,4
271,给我件裤子穿,1,3
272,蚌不住了,1,1
273,拉裤裤了突然兴奋,1,5
274,拉裤辣,1,3
275,答辩,1,3
276,跳楼0115,1,1
277,库里男孩,1,4
278,你害要裤子不,1,3
279,奈落,1,5
280,我刚喝完牛奶,1,2
281,这是泰国人吗,1,4
282,登子私生子,1,2
283,约瑟夫 拜登,1,5
284,无掩体干拉,1,2
285,帝王干拉,1,5
286,1145播放量,1,3
287,看完了没一句绷得住的,1,3
288,一整个尴尬,1,1
289,这味真是太冲了,1,0
290,114赞悲,1,5
291,我TM正在吃榴莲,1,4
292,舔唇,1,3
293,拉哪种,1,4
294,你币有了,1,3
295,刚拉完回来,1,3
296,可食雪,1,3
297,辣子我裤辣,1,4
298,让川建国坐牢,1,2
299,拉激动,1,4
300,拉着呢瞬间通畅,1,5
301,190人,1,3
302,沼气,1,1
303,这么大声干嘛,1,0
304,ぁくくぇ,1,3
305,字正腔圆,1,3
306,好家伙,1,3
307,粉丝先吃,1,4
308,我正在蹲坑,1,0
309,这是哪个,1,3
310,老八亲传,1,4
311,什么妖魔鬼怪,1,5
312,是雪罢,1,5
313,越来越离谱,1,2
314,自己热热的便便上,1,5
315,真的吗绷不住了,1,2
316,毫无编辑痕迹,1,1
317,拉裤里辣,1,3
318,联动xz,1,1
319,省流智障,1,3
320,泰酷拉了,1,1
321,最有才的,1,3
322,我就知道,1,3
323,我去我在拉,1,2
324,啦  卞  卞,1,2
325,牛批兄弟们,1,2
326,孙就,1,1
327,什么鬼呀,1,3
328,辣裤,1,3
329,霖姐,1,3
330,勇士粉丝,1,3
331,开头我就没绷住,1,3
332,byd学肖战是吧,1,5
333,cao在吃饭,1,3
334,真的吗难以置信,1,3
335,我也正在拉这呢,1,3
336,乔拜登,1,5
337,辣  裤  裤,1,5
338,我有背带裤你要穿吗,1,2
339,xz,1,3
340,满心欢喜jpg,1,0
341,我不管,1,3
342,拉裤裤泰裤辣,1,5
343,蓄力中,1,3
