,0
0,我已经笑得在医院躺着了
1,鬼畜没有一个能超越原版的
2,老  肩  巨  滑
3,嗨嗨
4,《白带异常》
5,G你太美
6,恶梦的开端
7,泰裤辣年代
8,怎么办，突然好激动，要来辣！！！
9,铁山靠
10,白带异常
11,全体起立
12,小黑子发作
13,这一跳，是传世经典！
14,也就只有咱们家蔡徐坤是最正常的。
15,只因你太美
16,泰裤辣时代考古
17,泰裤辣时代考古
18,《梦开始的地方》
19,《经典永流传》
20,非物质文化遗产
21,正片开始，正片开始
22,铁靠山
23,正片开始
24,[前方高能]
25,我家哥哥
26,哈哈哈哈哈哈哈哈哈哈
27,衣带渐宽终不悔，为伊消得人憔悴
28,爱坤
29,泰裤辣时代
30,及逆天没
31,《梦开始的地方》
32,hhhh哈哈哈哈哈哈哈
33,泰酷辣时代前来考古
34,23年了还这么多人看
35,我只是来做个游戏来参考动作的呀！
36,爆裂X型斩
37,起手式—铁山靠
38,白 带 异 常
39,疫情结束时代前来考古
40,梦开始的地方
41,台湾回归时代考古！！！
42,要来力
43,充满了熟悉感
44,看了那么多模仿 一般人还真跳不了
