,Dimension 1,Dimension 2,content,count
154,36.94948,-3.229303,好油腻,9
155,-7.894923,19.401918,好活,24
156,-4.1299763,16.041332,好活当赏,18
157,-0.35524932,-19.117292,好难听,6
158,1.6179987,13.338826,好骂,14
159,24.535507,-11.335503,如听仙乐耳暂明,8
160,10.247125,13.505933,如约而至地出现了,11
161,6.111208,12.812008,如约而至的出现了,12
162,-11.699022,24.372942,妈妈生的,37
163,-5.098253,16.771727,妖魔鬼怪,18
164,-7.861924,-10.896792,妖魔鬼怪快离开,6
165,-30.722052,-2.796292,嬉皮笑脸,7
166,-33.851933,-2.0318253,完了,7
167,37.37565,-3.40306,完美的黄金回旋,9
168,-10.109439,22.085894,害怕,29
169,-8.285173,-10.47751,家乡の语言,6
170,-13.820849,26.963608,家电下乡,57
171,10.102079,13.496976,家电下乡泰裤辣,11
172,21.98414,-11.902879,对对对,8
173,10.502801,13.304556,导师,11
174,1.7748194,13.264559,导蛋鬼,14
175,-5.938497,17.42644,封神辣,19
176,-7.213198,-11.105611,射线恶魔,6
177,-0.5203169,14.269706,小丑,15
178,19.035946,14.252475,小鬼,10
179,-3.5541914,-13.666481,小鬼是谁,6
180,-2.730493,-14.194579,小黑子,6
181,-12.606818,25.55934,尚雯婕,44
182,-3.7049165,-13.568348,尬到抠脚,6
183,-3.9459295,15.917986,尬死了,17
184,36.90248,-3.0665672,尬死我了,9
185,-1.2919216,-15.239815,就这,6
186,-32.049232,-2.421871,尸变,7
187,-4.4692845,-13.187228,尿素过多,6
188,36.23615,-4.151036,已和罗渽民结婚,9
189,22.052137,-13.196848,已经开始笑了,8
190,6.002339,12.8083515,帽子戏法,12
191,-35.03473,-2.4175158,开吐啦,7
192,-13.653024,26.855316,开始吟唱,55
193,-8.658915,20.249832,开幕雷击,24
194,-0.98511744,13.987969,当众奖励,15
195,-5.994828,-12.037869,当众奖励的屑,6
196,-5.311496,-12.326999,心脏骤停,6
197,-33.7452,-2.5038333,忘词了,7
198,-30.080975,-2.6813896,快去请如来佛祖,7
199,-7.5960264,-10.623189,急了,6
200,-7.2309117,-11.091286,急了急了,6
201,-8.64937,20.239168,恶心,24
202,-7.7438855,-10.587894,憋不住了,6
203,1.4868184,13.31459,成分复杂,14
204,23.995615,-11.647929,我TM来辣,8
205,-0.5458574,13.763787,我tm来辣,15
206,0.017246258,-16.406223,我tm莱纳,6
207,10.336168,12.981099,我不信,11
208,0.44007745,-17.264135,我去,6
209,-3.2228796,-13.874089,我就知道,6
210,22.888742,-11.343651,我有孩子辣,8
211,16.168844,14.995192,我测深圳,10
212,25.762352,-12.007393,我爱李卓远,8
