,content,count,emo
0,泰裤辣,21,3
1,上来就没绷住,10,2
2,给他腿打折,10,3
3,导师,3,5
4,太酷啦,3,3
5,泰裤啦,2,3
6,导蛋鬼,2,3
7,人生导师,2,5
8,捣蛋鬼,2,5
9,绷不住了,2,2
10,泰骷腊,2,2
11,老子嗦了蒜,2,4
12,难绷,1,3
13,我爱罗尾兽抽取现场,1,0
14,贝克劳恩确信,1,4
15,合乎孙礼,1,3
16,神经衰弱,1,3
17,华晨宇才不这样呢,1,0
18,被上身了吧怕是,1,4
19,妥妥的石碑,1,2
20,完全流氓一个,1,0
21,好好笑,1,4
22,这是人,1,3
23,要来了,1,3
24,蛇出来了,1,4
25,冲疯了,1,2
26,fx,1,3
27,导 蛋 鬼,1,3
28,华晨宇可比他强多了,1,3
29,这是吸了吧,1,2
30,跟个鬼一样,1,1
31,膏朝辣,1,5
32,我爱罗被抽取尾兽,1,1
33,油光满脸,1,2
34,多动症,1,4
35,小学生,1,1
36,学华晨宇是吧,1,2
37,快高潮了,1,5
38,华晨宇上身了吗,1,3
39,要舍出来啦,1,3
40,什么物种,1,3
41,磕多了,1,1
42,出来吧我的宝贝,1,4
43,给他手里麦克风打个码,1,4
44,是不是吸了,1,1
45,溜大了,1,3
46,奖励哥,1,4
47,华晨宇和他差不多,1,2
48,第三条腿折了,1,2
49,出来了 吃吧小米,1,4
50,笑死我了,1,2
51,一个和弦,1,2
52,明星涉毒常态吧,1,5
53,当场奖励自己,1,1
54,高嘲了,1,5
55,他在干什么,1,1
56,別死我手機裡,1,0
57,麦克风漏电事件,1,3
58,滚犊子,1,3
59,吉他手我差点没绷住,1,2
60,就是磕多了,1,1
61,小丑,1,3
62,广西鬼火,1,4
63,射裤辣,1,3
64,真 鬼畜,1,5
65,载入山海经的人,1,3
66,水还挺多 都湿透了,1,3
67,极速地求导,1,0
68,花鬼子,1,2
69,竟然当着女生面,1,1
70,飞机,1,2
71,必须得再快点,1,3
72,内心我真帅,1,5
73,他好丑真的,1,3
74,这是逼被夹到了吧,1,3
75,他抽筋了谁去帮帮他,1,5
76,羊癫疯,1,5
77,华晨宇亲传弟子,1,5
78,公公嗦了蒜,1,2
79,贝劳克恩,1,5
80,我华神不保神位了,1,1
81,一丘之貉华晨宇,1,3
82,那孩子也就毁了,1,4
83,笑出一身汗,1,2
84,赶紧回医院吧,1,1
85,四个一样,1,3
86,哪个家长都不愿意,1,4
87,哪里都有杀友是吧,1,3
88,视觉系,1,5
89,泰裤了,1,3
90,电到那里了,1,2
91,玛德笑死我了神孙策,1,1
92,怎么这里还有蒸,1,1
93,水遁泰裤辣,1,1
94,话筒电到牛牛了捏,1,5
95,麦克风漏电是吧,1,2
96,对不起并不想,1,1
97,绝望的文盲,1,3
98,自我感动,1,5
99,像二臂,1,2
100,菜哭了,1,3
101,我爱罗好像话筒触电了,1,5
102,赤发鬼刘唐,1,5
103,亡灵凯,1,2
104,已经开始笑了,1,4
105,爽翻了,1,4
106,我先来 太酷辣,1,1
107,尸变了,1,3
108,真的不是溜大了吗,1,3
109,胎哭啦,1,4
110,胎哭辣,1,4
111,态裤辣,1,5
112,细狗老子一坨子打翻,1,5
113,真丑这比,1,2
114,董明珠,1,2
115,对着吉他手yy是吧,1,4
116,太裤拉,1,2
117,首充奖励哥,1,5
118,董明珠来辣,1,3
119,太酷辣,1,3
120,亡灵哥哥菜酷辣,1,5
121,一个和弦弹这么起劲,1,4
122,神孙策,1,3
123,脱妆咯,1,2
124,猪刚鬣,1,2
125,沙漠层大葬,1,3
126,救护车呢,1,3
127,在打飞坤,1,3
128,菜酷啦,1,3
129,文盲吗,1,3
130,飞大了吧,1,3
131,孩子别来沾边,1,5
132,痞幼,1,4
133,这抽抽干嘛,1,0
134,妖魔鬼怪,1,5
135,九陋鱼,1,1
136,哪来的人幺,1,3
137,孩子不如烂在纸里,1,1
138,鬼你太酷 鸡你太美,1,5
139,拉裤啦,1,3
140,不像演的,1,2
141,这是什么邒东西,1,5
142,董明珠是吧,1,2
143,小机把男,1,3
144,成为你这样的就完了,1,3
145,放飞自我,1,5
146,我好害怕,1,3
147,这人谁,1,3
148,哪个院出来的,1,3
149,我爱罗,1,3
150,吸了多少,1,2
151,限定珊瑚头返厂,1,1
152,吊儿郎当的样子,1,3
153,后期打个码,1,5
154,泰裤拉,1,2
155,儿子你看看你咋来的,1,4
156,钛绔剌,1,2
157,wtf,1,3
158,贴大辣,1,3
159,误人子弟,1,0
160,吉他歌憋笑中,1,4
161,像皇子跳舞的动作,1,3
162,妈耶,1,3
163,又在冲,1,3
164,神厠,1,3
165,太酷了,1,3
166,搁这奖励自己呢,1,1
