,content,count,emo
0,泰裤辣,29,3
1,一边去,19,3
2,嬉皮笑脸,10,4
3,格尸,10,2
4,笑死我了,9,2
5,海尔,7,1
6,在这么冷的天,7,1
7,油光满面,6,3
8,那可太好了,6,2
9,逆天,6,1
10,绷不住了,5,2
11,你最好是在修空调,4,0
12,臂力惊人,4,2
13,活字印刷术,4,2
14,笑死了,4,2
15,谁家小孩,4,1
16,火钳刘明,4,4
17,泰cool辣,4,3
18,太cool辣,4,3
19,蚌埠住了,4,3
20,太酷啦,3,3
21,太抽象了,3,3
22,格力空调,3,1
23,一边去11,3,1
24,修空调,3,0
25,冻老虎,3,0
26,格力打钱,3,1
27,董明珠,3,2
28,修空调还奖励自己的屑,3,1
29,太cool啦,3,3
30,奖励自己,3,3
31,114度悲,3,5
32,离谱,3,2
33,好臭的空调,3,0
34,笑死,2,2
35,那英驻唱,2,3
36,太裤辣,2,3
37,泰酷拉,2,1
38,好像在紫薇,2,2
39,那可泰裤辣,2,5
40,文艺复兴,2,3
41,什么出来了,2,3
42,董事长太不懂事了,2,4
43,家电下乡,2,4
44,武 力 威 慑,2,5
45,泰cool 辣,2,3
46,要去了,2,3
47,董事长不懂事,2,4
48,雪降,2,4
49,亡灵凯,2,2
50,太cold辣,2,1
51,蛇了,2,4
52,董暗珠,2,2
53,不 知 好 歹,2,5
54,住在你衣柜里,2,1
55,保留节目,2,1
56,事故多发地,2,2
57,不是格力的我不修,2,0
58,每日一边去11,2,4
59,笑抽了,2,2
60,奖励自己是吧,2,3
61,傲慢的演奏家,2,0
62,海尔兄弟,2,0
63,太库啦,2,3
64,抽象,2,4
65,海乐,2,3
66,空调漏电确信,2,1
67,错啦这是副董事长,2,4
68, 海 尔 ,2,5
69,好活当赏,2,4
70,泰酷辣,2,3
71,一边去指正,2,3
72,弟中之弟,2,2
73,原型毕露,2,5
74,空调漏电,2,0
75,室内骑车的屑华强,2,4
76,那个草泥马,2,4
77,顾客就是上帝,2,1
78,这谁,2,3
79,我爱罗抽尾兽,2,2
80,原形毕露,2,3
81,捣蛋鬼,2,5
82,强子突然激动,2,4
83,被冷风撅力悲,2,5
84,为什么要奖励空调,2,2
85,孽畜还不快快现行,1,4
86,省流,1,3
87,笑闭了,1,3
88,董事长,1,4
89,蓝色妖姬,1,5
90,格P,1,3
91,省流就华强活着,1,3
92,老虎笑死我了,1,2
93,臭小子悲,1,5
94,漏电,1,1
95,我去笑死我了,1,1
96,离离原上谱,1,1
97,辣伴随尖叫,1,4
98,救命真的笑疯了,1,5
99,女弟弟,1,4
100,GREE 格尸,1,2
101,董事长一点都不懂事,1,4
102,永冻,1,2
103,太草了,1,3
104,烧起来啦,1,3
105,这事被撅了罢悲,1,5
106,24度警撅,1,3
107,泰臭辣恼,1,0
108,不是妹妹吗,1,3
109,泰cold啦,1,1
110,摄政王,1,4
111,我就知道,1,3
112,泰不冷啦,1,0
113,碇真嗣,1,4
114,奖励战士,1,4
115,护犊子de老虎,1,3
116,卧槽 好活,1,4
117,五湖四海皆兄弟,1,2
118,好臭,1,1
119,笑了,1,4
120,这是谁,1,3
121,一 心 求 死,1,2
122,老虎被撅力悲,1,5
123,空调漏电了,1,0
124,月牙天冲,1,1
125,羡慕空调,1,5
126,满脸油的屑,1,2
127,奖励,1,3
128,好哥哥,1,5
129,台词指导昊京,1,5
130,笑死啦,1,2
131,拍疼了确信,1,3
132,真的太酷了,1,3
133,欢迎回来,1,2
134,搞空调,1,0
135,空调我当时害怕极了,1,1
136,顶撞上司,1,5
137,114514,1,3
138,我爱罗谁说的笑死我了,1,2
139,杰哥让我看看,1,3
140,发光怎么说 发光,1,2
141,太离谱了,1,0
142,真能整活,1,3
143,格尸空调,1,1
144,脸上抹油了,1,0
145,那可太好辣,1,2
146,格力风评被害,1,0
147,泰艺术辣,1,4
148,今夕是何年,1,4
149,董校长确信,1,5
150,以 下 犯 上,1,4
151,跟踪可以的,1,1
152,可呼,1,4
153,奖励一下,1,3
154,摸了一手油的屑,1,4
155,触电了吧,1,3
156,只因叫,1,2
157,臭小鬼,1,1
158,冰 雪 奇 缘,1,5
159,沙瀑大葬,1,3
160,笑发疯了,1,2
161,里边去,1,2
162,焯到虚脱,1,3
163,震动调,1,1
164,抹了10斤猪油,1,0
165,293,1,3
166,真的丑死了,1,1
