ctime,label,count
0,3,60
0,7,28
0,4,2
0,2,1
1,7,119
1,5,111
1,3,45
1,4,14
1,0,1
2,7,144
2,5,46
2,6,26
2,3,25
2,4,23
2,0,4
3,5,143
3,7,49
3,3,21
3,4,21
3,1,12
3,2,7
3,6,6
3,0,2
4,5,228
4,7,128
4,0,105
4,6,82
4,1,66
4,4,46
4,3,43
4,2,31
5,5,124
5,3,81
5,7,70
5,0,55
5,6,44
5,1,31
5,4,27
5,2,8
