,content,count,emo
0,泪目,31,4
1,逆天,24,1
2,泰裤辣,23,3
3,两眼一黑,19,2
4,火钳刘明,13,4
5,眼前一黑,12,5
6,笑死我了,11,2
7,奖励哥,9,4
8,活字乱刷术,9,3
9,双厨狂喜,9,4
10,绷不住了,8,2
11,笑死了,8,2
12,捣蛋鬼,8,5
13,笑死,7,2
14,救命,7,4
15,地狱绘图,6,2
16,蚌埠住了,6,3
17,捣蛋鬼别捣蛋,5,5
18,好活,5,4
19,吉克,5,3
20,梦幻联动,4,5
21,活字印刷术,4,2
22,开幕雷击,4,0
23,女同,4,3
24,求偶动作,4,2
25,看哭了,4,4
26,散装英文,4,2
27,月牙冲天,3,4
28,泰酷辣,3,3
29,交流病情,3,5
30,奖励自己,3,3
31,哭了,3,4
32,奖励过度,3,2
33,成分复杂,3,3
34,闻鸡起舞,3,3
35,那可太好了,3,2
36,雷姆,3,3
37,月牙天冲,3,1
38,笑疯了,3,3
39,背带裤,3,3
40,过于逆天,3,0
41,出来了,3,3
42,群魔乱舞,3,5
43,鸡哥是攻喜,2,3
44,鸡裤同笼,2,2
45,家乡话,2,5
46,高达,2,3
47,语法错误,2,5
48,不如特斯拉,2,3
49,太逆天了,2,0
50,世上还是好冰山多,2,4
51, 泰酷辣,2,3
52,反了吧,2,3
53,我爱罗,2,3
54,简介写得也很老实,2,3
55,泰裤只因号,2,2
56,没绷住,2,2
57,病情交流,2,5
58,鸡你太酷了,2,4
59,人生导师,2,5
60,已笑疯,2,2
61,难绷,2,3
62,世界名画,2,5
63,我的眼睛,2,3
64,只因泰裤辣,2,2
65,xswl,2,3
66,辣眼睛,2,3
67,我的眼镜,2,2
68,字正腔圆,2,3
69,你干嘛,2,1
70,中门对狙,2,2
71,逆天的我不想评论,2,0
72,没加ing,2,1
73,521人正在观看,2,4
74,俺也一样,2,3
75,嬉皮笑脸,2,4
76,一直在打灰机吗,2,0
77,宝娟我的眼睛,2,3
78,泰裤拉,2,2
79,只因素过多,2,3
80,泪目了,2,4
81,奖励小子,2,5
82,强强对话,2,3
83,那 可 太 好 了,2,2
84,太抽象了,2,3
85,鸡你泰裤辣,2,3
86,坤坤罪不至此,2,3
87,捣 蛋 鬼,2,3
88,泰裤辣鸡号,2,2
89,只因你泰裤辣,2,2
90,病友交流,2,3
91,樱木花道确信,1,5
92,泰裤尼太美号,1,2
93,逆天了,1,1
94,只因克可还行,1,3
95,笑死我了受不了,1,1
96,奖励中,1,4
97,顶峰相见,1,5
98,当众打飞飞太逊了,1,3
99,行动信息,1,3
100,审核这把高端局,1,1
101,刚开始还以为坤哥是1,1,2
102,鸡克,1,3
103,那可泰裤啦doge,1,5
104,太酷尼太美号,1,1
105,不确定再看一遍,1,3
106,cao,1,3
107,互撸娃,1,1
108,开局就没蚌住,1,1
109,诸神黄昏,1,4
110,奖励实在是泰裤辣,1,2
111,我 只因 永 恒,1,5
112,眼前黑完,1,5
113,这怕不是掰断了,1,2
114,奖励自己中,1,4
115,泰裤啦鸡克号,1,1
116,捣 蛋 鬼doge,1,3
117,莫名感动,1,5
118,太好了233,1,2
119,泰裤啦,1,3
120,空中对狙,1,2
121,有卧龙地方必有凤雏,1,5
122,在紫薇,1,3
123,甚至还原背带裤,1,3
124,我鸡永恒,1,5
125,背冲手,1,3
126,队友终成眷属,1,5
127,太酷了,1,3
128,hhhhhhh,1,3
129,大吉他,1,0
130,什么同妻,1,3
131,开局蝻蚌,1,2
132,走A,1,3
133,这视频怎么这么长,1,3
134,bgm好评,1,2
135,x s w l,1,1
136,甚至是双语,1,1
137,热知识他俩一个团的,1,4
138,省流绝世虐恋,1,5
139,有点东西的,1,2
140,厉不厉害 你坤哥  ,1,1
141,嬉  皮  笑  脸,1,3
142,鸡门永存,1,4
