,content,count,emo
0,泰裤辣,69,3
1,多弗朗明哥,23,3
2,这位更是重量级,19,3
3,不然呢,15,3
4,董明珠,14,2
5,什么玩意,13,0
6,逆天,13,1
7,帽子戏法,13,3
8,法师,12,3
9,跳大神,12,3
10,奖励小子,11,5
11,奖励哥,10,4
12,不认识,9,2
13,泰酷辣,9,3
14,恶心,9,0
15,抄袭,9,1
16,00后不背这锅,9,2
17,神经病,9,1
18,羊癫疯,9,5
19,我爱罗,9,3
20,永远的神经病,9,1
21,我爱李卓远,8,3
22,不如丁真,8,2
23,这谁,7,3
24,杜海涛,7,4
25,癌神,7,3
26,垃圾,7,0
27,要来力,7,3
28,还有这种好事,7,2
29,yue,7,3
30,那可太好了,7,2
31,牛鬼蛇神,6,4
32,鬼上身,6,5
33,什么鬼,6,3
34,捣蛋鬼,6,5
35,射线恶魔,6,5
36,全体起立,6,1
37,癫痫,6,3
38,别来沾边,5,4
39,周杰伦,5,1
40,确实,5,3
41,毒瘾犯了,5,4
42,吸嗨了,5,0
43,口水歌,5,2
44,吸了,5,2
45,好油,5,3
46,不然在ttg打野呢,5,2
47,不然在ttg打野,5,2
48,做法现场,5,1
49,肿瘤哥,5,3
50,丁真,5,2
51,00后不背锅,5,2
52,丁真唱法,5,2
53,华语乐坛跳大神,5,3
54,00后,5,3
55,魑魅魍魉,4,5
56,笑死,4,2
57,绷不住了,4,2
58,不喜欢,4,3
59,家电下乡,4,4
60,小鬼王,4,5
61,四大鬼王,4,5
62,泰库拉,4,2
63,亡灵凯,4,2
64,泰裤啦,4,3
65,什么东西,4,3
66,瘟神,4,3
67,不如dz,4,3
68,华语乐坛姓什么,4,0
69,吐了,4,1
70,华宇乐坛,4,2
71,不如烟,4,3
72,吸了吧,4,2
73,不如顶针,4,3
74,四大癫王,4,5
75,吸毒了吧,4,4
76,谢谢,4,3
77,00后别来沾边,4,4
78,格力家电下乡,4,4
79,触电了,4,3
80,别死我手机里,4,2
81,答辩,4,3
82,啥玩意儿,3,2
83,甘文崔山,3,5
84,大名鼎鼎,3,4
85,雪意味深,3,4
86,妈妈生的,3,5
87,顶针唱法,3,2
88,死了,3,1
89,不如大碗宽面,3,2
90,四大天亡,3,3
91,磕了,3,1
92,他不会觉得自己很帅吧,3,3
93,不如坤哥,3,3
94,师傅别念了,3,4
95,火烈鸟,3,3
96,肾虚唱法,3,2
97,一个不认识,3,2
98,跳大神的神,3,2
99,眼前一黑,3,5
100,这人谁,3,3
101,一代不如一代,3,5
102,开始作法,3,2
103,噶了,3,3
104,这都是谁,3,3
105,胎神,3,3
106,中专说唱,3,5
107,谢谢你,3,3
108,离谱,3,2
109,00后怎么你了,3,3
110,卧槽,3,3
111,华语乐坛私生子之父,3,5
112,吸毒了,3,4
113,快叫救护车,3,4
114,吸毒了吗,3,4
115,00后不认识,3,2
116,感谢祝福,3,5
117,他在干嘛,3,1
118,设了,3,2
119,是的我们有一个孩子,3,4
120,骨质增生,3,3
121,开始吟唱,3,4
122,不喜欢谢谢,3,3
123,00后拒绝背锅,3,1
124,鼠来宝,3,2
125,抄袭的,3,1
126,泰裤拉,3,2
127,沙雕,3,5
128,永远的法师,3,3
129,还有这好事,3,2
130,反骨仔,3,5
131,可瑞克没有电,3,2
132,重量级,3,3
133,跳大神的,3,1
134,吃了没文化的亏,3,3
135,癫痫发作,3,2
136,00后不喜欢,3,3
137,油腻,3,3
138,磕药了,3,3
139,感谢你的祝福,3,5
140,00后不认识他,3,2
141,低俗,3,0
142,给你大拇哥,3,3
143,00后表示别来沾边,3,4
144,明哥,3,3
145,精病,3,3
146,这啥呀,3,3
147,好低俗,3,1
148,蛇了,2,4
149,别带00后谢谢,2,4
150,葬爱家族,2,5
151,魔虹,2,3
152,看看华语乐坛姓什么,2,0
153,君麻吕,2,5
154,花花封神辣,2,5
155,溜大了,2,3
156,二五仔,2,4
157,请神,2,3
158,就是没文化,2,2
159,真特么恶心,2,0
160,他是,2,3
