,content,count,emo
0,蚌埠住了,11,3
1,防空警报,8,4
2,泰裤辣,7,3
3,离谱,6,2
4,siu,5,3
5,卧槽,5,3
6,笑死我了,5,2
7,撒库拉,5,2
8,绷不住了,5,2
9,谁家小孩,5,1
10,逆天,4,1
11,救命,4,4
12,114514,3,3
13,笑死,3,2
14,好家伙,3,3
15,天气预报,3,0
16,你干嘛哎呦,2,0
17,这里没绷住,2,2
18,鸡叫,2,4
19,半夜只因叫,2,0
20,成分复杂,2,3
21,还有王法吗,2,3
22,警笛,2,3
23,没错你被骗辣,2,0
24,警笛头,2,2
25,被骗了,2,0
26,董明珠,2,2
27,sakura,2,3
28,笑死了,2,2
29,太苦,2,3
30,省流你被骗了,2,0
31,你干嘛,2,1
32,泰裤啦漏气版,2,3
33,hhhhhhhh,2,3
34,我要笑死了,2,2
35,精神污染,2,3
36,绝对零度,2,2
37,溺水啦,2,3
38,家人们谁懂,2,3
39,鬼叫,2,3
40,电裤,2,3
41,到这绷不住了,2,2
42,我报警了,2,0
43,来在看的93,1,3
44,警撅,1,4
45,脱裤啦,1,3
46,萧敬腾,1,3
47,双倍给下一个人,1,3
48,要素过多,1,0
49,开头难崩,1,3
50,防水警报,1,4
51,我他妈蚌埠住了呀,1,1
52,真不怕被告,1,0
53,深海小鬼雾,1,4
54,没活硬整,1,1
55,mua幻听,1,5
56,愣住,1,1
57,快跑,1,4
58,wctmd笑疯了,1,3
59,不屁,1,1
60,273C孩怕,1,2
61,中国贞子第一人,1,4
62,水鬼,1,2
63,太酷预报,1,1
64,酷摇,1,3
65,下半身老头发力了,1,2
66,笑到喊,1,4
67,两眼一黑,1,2
68,泰音,1,1
69,这个没绷住,1,2
70,第一占个座先,1,3
71,仙贝幻听,1,5
72,谢特,1,3
73,但凡作者有一个碳原子,1,4
74,カッコ良すぎる,1,4
75,死去的老梗突然复活,1,5
76,这里蚌埠住了,1,3
77,眼前一黑的程度,1,5
78,Sakura,1,3
79,耳机党已被送走,1,3
80,给爷火,1,1
81,妈呀,1,3
82,我憋不住了,1,0
83,青藏高裤,1,2
84,渔舟唱裤,1,2
85,快跑防空警报响了,1,4
86,功德加一,1,5
87,还有换气,1,5
88,成分复杂确信,1,4
89,哎哟你干嘛,1,1
90,荒谬,1,1
91,都给我吃草,1,4
92,siu_,1,3
93,受不了一点,1,2
94,不行了笑得肚子疼,1,0
95,完了功德笑没了,1,5
96,防空警报幻听,1,5
97,你们真的好坏,1,3
98,有点蚊子叫,1,1
99,我tm笑死,1,2
100,絶対音感,1,2
101,笑死了靠破防了,1,2
102,05警报器本器,1,5
103,雪豹闭嘴,1,2
104,泰酷辣,1,3
105,加油,1,5
106,00,1,3
107,泰国内裤,1,1
108,毛骨悚然,1,1
109,窒息,1,3
110,笑的想亖,1,4
111,没文化还想激励别人,1,4
112,越来越离谱了笑得抽,1,2
113,但凡有一个碳原子,1,4
114,这是坤坤吗,1,2
115,我人傻了,1,2
116,这是谁这么火,1,2
117,到这里绷不住了,1,2
118,没绷住,1,2
119,腾敬萧,1,5
120,够阴间,1,3
121,泰伽,1,5
122,没唱完不得进,1,4
123,孩子都虾裤辣,1,4
124,孩子都吓哭辣,1,5
125,被传说闪光弹闪到了,1,5
126,泰浩了,1,4
127,影流之主,1,3
128,不行,1,1
129,114514警撅,1,4
130,甚至转音,1,1
131,穷图匕现,1,3
132,怪兽出场背景音,1,4
133,哎呦你干嘛,1,0
134,wtf,1,3
135,我给你大拇哥,1,3
136,到这里真绷不住了,1,2
137,精神上的折磨,1,2
138,你个头,1,2
139,你就是个嘬嘬嘬嘬,1,2
140,我真的蚌埠住,1,1
141,skr,1,3
142,玉甭,1,3
143,确实绷不住了,1,3
144,水鬼是吧拖我下水,1,1
145,他是懂高音的,1,3
146,万能的缝合怪,1,0
147,绷不住啦,1,2
148,特莉休,1,0
149,建议来个动物世界版的,1,5
150, 操,1,4
151,啥玩意,1,0
152,塔库拉马他他,1,2
153,mm,1,5
154,集体超吹,1,3
155,你干嘛哎哟,1,1
156,以为鬼片,1,4
157,他不配超越我家哥哥,1,5
158,每日一遍快乐无限,1,5
159,泰库了辣,1,3
160,什么鬼,1,3
161,雪豹,1,3
162,byd,1,3
163,瞌睡都笑没了,1,3
164,有那么一瞬间仙贝在世,1,5
165,耳机党已阵亡,1,2
166,憋不住了,1,0
167,溺水版本,1,4
168,小时候看这集吓尿了,1,2
169,你们食不食人,1,5
170,你是木叶村的家伙,1,3
171,太阴间了把,1,1
172,来个赛博坦版本的,1,5
173,别别别,1,3
174,我靠,1,3
175,你三连有了,1,2
176,牛壁肺活量,1,4
177,听拉裤了,1,3
178,真的蚌埠住了,1,3
179,  ,1,3
180,妆造好差,1,1
181,愿者上钩,1,4
182,心脏骤停,1,4
183,看最新评论,1,2
184,防空预警,1,3
185,眼前一黑,1,5
186,siuuuuuuu,1,3
187,蚌住了,1,3
188,TAKARA,1,3
189,警笛原声确信,1,3
190,入锅,1,2
191, 那7个人给我出来,1,2
192,还在泰裤辣,1,3
193,鲸落,1,5
194,谪剑蚀琴泰酷辣,1,5
195,什么玩楞看不懂,1,2
196,这个好笑在哪,1,1
197,太搞笑了,1,1
198,真的笑死我了,1,2
199,泰裤高原,1,1
200,泰裤唱晚,1,4
201,话筒长脸上是吧,1,4
202,意满离,1,3
203,能下载不,1,1
204,100,1,3
205,求你别想,1,3
206,太酷少,1,1
207,辣颓,1,3
208,就我我要s了,1,1
209,甚至还有颤音,1,3
210,赞了,1,5
211,蚌埠住了救命,1,4
212,没崩住家人们,1,1
213,斯图卡,1,3
214,太苦啦,1,3
215,4K,1,3
216,抬裤啦,1,3
217,肺活量真好,1,5
218,把他们全拖下水,1,0
219,ku,1,3
220,极致的酷摇,1,2
221,TAKURA,1,3
222,还有颤音呢,1,3
223,太草了,1,3
224,孩子哭了,1,5
225,天气预裤,1,1
226,尖叫鸡,1,3
227,抽象,1,4
228,律师函警告,1,5
229,拉不出来是吧,1,2
230,面目狰狞的,1,2
231,泰泰开,1,0
232,谁家水壶,1,0
233,谁家轮船,1,3
234,耳机党觉得泰裤辣,1,3
235,哼哼幻听,1,5
236,九敏,1,3
237,不要太荒谬,1,1
238,好家伙好家伙好家伙,1,4
239,听懂掌声,1,2
240,破了个大防焯,1,1
241,萧敬腾我来也,1,4
242,耳机党已死亡,1,4
243,我裂了,1,3
244,脸上得擦三斤粉,1,1
245,耳机党爆炸,1,3
246,饿狼咆哮,1,3
247,这是谁,1,3
248,像你一样泰裤辣笑死,1,1
249,这个我喜欢,1,4
250,笑的头疼,1,3
