,content,count,emo
0,泰裤辣,552,3
1,泰酷辣,221,3
2,破防了,22,1
3,太酷啦,21,3
4,笑死我了,20,2
5,绷不住了,15,2
6,泰裤啦,11,3
7,大拇哥,11,3
8,我觉得你说的对,10,2
9,薄纱,10,3
10,他听不懂,8,2
11,高下立判,7,2
12,对对对,7,3
13,急了急了,7,1
14,蚌埠住了,7,3
15,爆杀,6,3
16,好尬,6,3
17,亡灵凯,6,2
18,不同的物种,6,3
19,小丑,6,3
20,我给你大拇哥,6,3
21,太酷辣,6,3
22,笑死了,5,2
23,急了,5,2
24,脑缠,5,4
25,泰库辣,5,3
26,泰酷啦,4,2
27,给你大拇哥,4,3
28,妈妈生的,4,5
29,难绷,4,3
30,救命,4,4
31,董明珠,4,2
32,太酷了,4,3
33,逆天,4,1
34,真的泰裤辣,3,3
35,省流我觉得你说得对,3,2
36,只想和你聊音乐,3,3
37,端木燕,3,1
38,泰对辣,3,1
39,绝杀,3,3
40,绝望的文盲,3,3
41,他好像觉得自己很帅,3,3
42,于文文救救我,3,3
43,认可,3,4
44,你泰酷辣,3,3
45,脑袋空空,2,0
46,玩星穹铁道玩的,2,2
47,胡彦斌,2,0
48,大拇哥儿,2,0
49,好尴尬,2,2
50,我很认可,2,5
51,省流我觉得你说的对,2,2
52,祖儿看呆了,2,3
53,无能狂怒,2,2
54,吃了没文化的亏,2,3
55,没绷住,2,2
56,傻波一,2,4
57,你认可你摩洛哥炒饼,2,4
58,老师,2,5
59,脑干缺失,2,1
60,黑转黑,2,2
61,急眼了,2,2
62,薄纱了,2,3
63,厉害个der,2,2
64,不愧是新晋四大天王,2,5
65,大姆哥,2,3
66,你猜他为什么是评委,2,1
67,沙壁,2,3
68,中专是这样的,2,5
69,破防辣,2,1
70,胡彦斌难绷,2,1
71,大拇哥警告,2,2
72,路转黑,2,3
73,你认可个季波,2,4
74,小丑破防了,2,0
75,简直是泰裤辣,2,1
76,傻狗,2,2
77,低能,2,2
78,老师绷不住了,2,4
79,路转黑了,2,3
80,越狱bgm,2,2
81,笑吐了,2,2
82,猎杀时刻,2,3
83,胡彦斌快绷不住了,2,0
84,老师情商高,2,5
85,这是真没有文化呀,1,4
86,好溜11,1,3
87,他根本没听懂,1,2
88,他真的有病,1,3
89,节目效果而已,1,2
90,这个确实,1,3
91,读书的作用,1,4
92,老师妈妈生的,1,5
93,我真的受不了了,1,3
94,你说得对但是,1,2
95,救命脚趾好累,1,5
96,Joey大为震惊,1,1
97,幼儿园毕业,1,5
98,忍不住笑了D,1,4
99,我给你竖个大拇哥,1,2
100,他破防了,1,1
101,噗好嘎,1,2
102,什么东西,1,3
103,汪苏泷可可爱爱,1,5
104,怎么这么像天才端木燕,1,2
105,即泰裤辣变成大拇哥,1,2
106,老师好会说,1,4
107,吓死人,1,1
108,他到底有没有读过书,1,4
109,一下点明白了,1,2
110,太库辣,1,3
111,王彦斌满脸的不屑,1,4
112,它破防了,1,2
113,说得太好了,1,2
114,你就只能玩,1,2
115,这老师水平挺高的,1,5
116, 大拇哥,1,3
117,老师压着怒火在怼他,1,3
118,破防咯有人破防咯,1,0
119,俺也一样,1,3
120,黑转确黑,1,2
121,说话还指着人,1,2
122,真的很难不笑救命,1,5
123,不在一个层次上,1,2
124,董明珠真狂,1,2
125,他都听不懂,1,2
126,一眼中专,1,5
127,滑钢琴音,1,1
128,迈克奥赫恩鬼,1,4
129,老师反击的很好,1,5
130,求锤得锤,1,1
131,九转大肠表情包,1,3
132,你放只猴上去它也能玩,1,3
133,很体面了,1,4
134,暴打文盲,1,3
135,感觉是综艺的人设,1,3
136,老师反击的很体面,1,5
137,那你泰裤啦,1,3
138,自取其辱,1,5
139,小鬼当过评委,1,1
140,情商太低了这个,1,3
141,九敏家人们,1,3
142,这啥,1,3
143,中专说唱,1,5
144,因为我根本没资格,1,1
145,泰裤辣泰裤辣泰裤辣,1,2
146,老师这孩子没事吧,1,5
147,他好像以为自己很酷,1,4
148,大拇哥蒸蚌,1,1
149,你猜他为什么是老师,1,5
150,像剧本,1,4
151,解锁新技能你厉害,1,5
152,明示你不懂音乐,1,1
