,content,count,emo
0,新婚快乐,164,5
1,我生日,64,3
2,三连随份子,55,2
3,你小子,52,5
4,随份子,48,2
5,两个币随份子,43,2
6,恭喜,30,4
7,我的生日,26,3
8,百年好合,26,4
9,稍微,24,2
10,恭喜恭喜,23,5
11,投币随份子,22,2
12,心脏骤停,20,4
13,随个份子,17,2
14,蓄谋已久,17,1
15,随份子了,15,2
16,森林冰火人是你的谎言,15,5
17,啊啊啊啊啊啊,14,5
18,学姐,12,4
19,投两个币随份子,12,1
20,哈哈哈哈哈哈,12,5
21,哈哈哈哈哈哈哈哈,10,5
22,啊啊啊啊啊啊啊啊,10,5
23,你小子终于发了,10,4
24,哈哈哈哈哈哈哈哈哈,10,5
25,皮蛋,9,2
26,好甜,9,5
27,两个币随份子了,9,2
28,三连随个份子,9,2
29,随俩币,9,2
30,年下,8,3
31,啊啊啊啊啊啊啊,8,5
32,币比赞多系列,8,5
33,随份子随份子,8,2
34,出息了呀西红柿,8,3
35,噔噔咚,7,2
36,两个币随份子钱,7,1
37,两个币随个份子,7,2
38,哈哈哈哈哈哈哈,7,5
39,两个硬币随份子,6,1
40,随份子钱,6,1
41,新东方实名祝你幸福,6,5
42,小聪明鬼右一,6,2
43,哇,6,3
44,纯爱战士应声倒地,6,5
45,啊啊啊啊啊,6,5
46,啊啊啊啊,6,5
47,卧槽,6,3
48,份子已随,5,2
49,森林冰火人,5,5
50,随份子啦,5,2
51,啊啊啊啊啊啊啊啊啊,5,5
52,新婚快乐茄哥,5,5
53,冰火人是你的谎言,5,5
54,终于等到了,5,3
55,恭喜两个币随份子了,5,3
56,随个份子钱,5,1
57,姐弟恋,5,5
58,投币随礼,5,2
59,421我生日,5,3
60,两个币份子钱,5,1
61,芜湖,5,5
62,这天我生日,5,1
63,求婚快乐,5,5
64,好耶,5,3
65,新婚快乐啊,4,5
66,哈哈哈哈哈哈哈哈哈哈,4,5
67,稍微延后,4,1
68,我生日啊,4,3
69,蓄谋已久啊,4,1
70,我的生日耶,4,1
71,终于等到你,4,3
72,投币随份子钱,4,1
73,啊,4,3
74,两币随份子,4,2
75,劳模杨老师,4,5
76,终于发了,4,2
77,幸福,4,5
78,来随份子了,4,2
79,三连份子钱,4,1
80,新婚快乐切切,4,5
81,新人up请多指教,4,0
82,币比赞多,4,5
83,哈哈哈哈,4,5
