,content,count,emo
0,泰裤辣,32,3
1,要来力,13,3
2,泰酷辣,7,3
3,要素过多,5,0
4,梦幻联动,4,5
5,双厨狂喜,4,4
6,太酷啦,3,3
7,原声大碟,3,3
8,你造吗,3,3
9,泰裤拉,3,2
10,成分复杂,3,3
11,蒂蒂,3,3
12,火钳刘明,3,4
13,第三个是王子异,2,4
14,原声,2,3
15,住医院,2,2
16,滴滴,2,1
17,绷不住了,2,2
18,泰裤辣像前辈致敬,1,5
19,修空调,1,0
20,要来咯,1,2
21,呦呦,1,0
22,哎哇纳比哟哥分,1,2
23,这文案好杀马特,1,5
24,那个菜好了,1,3
25,蓄力中,1,3
26,什么鬼,1,3
27,有的有流泪,1,4
28,他知道自己表达什么吗,1,3
29,这个是谁,1,3
30,有即答,1,3
31,做苦力,1,4
32,我讨厌不男不女,1,1
33,大嫂,1,3
34,泰裤辣建议原声,1,1
35,自我介绍,1,4
36,好油,1,3
37,不行了笑死我了,1,1
38,他在说什么,1,2
39,我特摸来啦,1,3
40,丑绝了,1,3
41,第三个是太什么,1,1
42,这脸抹了多少油,1,1
43,第三个是泰辣啦,1,1
44,真蚌埠住了,1,3
45,我是一个rapper,1,2
46,泰库辣,1,3
47,不像演的,1,2
48,原来是你们,1,3
49,孔子是吧,1,2
50,Dicl,1,3
51,我还以为是本人,1,3
52,刷了一晚上泰裤辣,1,0
53,为什么脸上那么油,1,1
54,xnn女又叫了,1,3
55,格力,1,2
56,我是蜀黍泰裤辣,1,2
57,要来了,1,3
58,666还得是你,1,3
59,炸kun指正,1,3
60,我不到,1,2
61,马保国,1,3
62,还有一个太辣是吗,1,2
63,德克士呢,1,2
64,dd味对,1,2
65,泰荔枝辣,1,1
66,吃荔枝,1,2
67,有撕心裂肺,1,5
68,可是雪飘进双眼,1,4
69,咱就说咱就说,1,1
70,笑晕,1,3
71,成分太复杂,1,2
72,难绷,1,3
73,有的有的,1,3
74,太草了 窝趣,1,5
75,真的不想批的,1,2
76,我靠我还以为是阿姨,1,2
77,开口脆,1,4
78,说成语我不认可,1,3
79,泰裤の小曲,1,2
80,没有太帅我不是很认可,1,4
81,马老师是谁,1,5
82,ikun,1,3
83,小黑子无疑了,1,4
84,那可蔡徐坤好了,1,5
85,不在了两年半,1,1
86,泰油辣,1,3
87,不如蔡徐坤,1,4
88,开幕雷击,1,0
89,刘德华呢,1,5
90,泰裤拉 wo,1,2
91,配音嘴型都不对服了,1,0
92,还加了回音我哭死,1,0
93,hhhhhh笑死,1,2
94,hhhhh毫无违和感,1,3
95,可以和婷婷窝里斗,1,5
96,施法前摇,1,1
97,绷不住了兄弟们,1,1
98,鲲团不是9个人吗,1,1
99,奖励哥,1,4
100,自相残杀,1,1
101,牛批,1,3
102,捏吗 还有互动是吧,1,4
103,真的吗我不信,1,2
104,我不知道,1,2
105,董明珠,1,2
106,做音乐幻听,1,5
107,董明珠加油,1,5
108,泰裤辣区up主,1,3
109,我TM莱纳,1,4
110,必火系列,1,4
111,炸坤,1,3
112,我在辣粑粑,1,2
113,开始吟唱,1,4
114,你别太搞笑,1,1
115,太辣,1,2
116,不是1997,1,2
117,地帝,1,3
118,第一句就没蚌住,1,1
119,一开口就没绷住,1,1
120,斯卡蒂是吧,1,3
121,他维森莫要酱紫讲话,1,0
122,他跟坤坤是朋友呢,1,3
123,小黑子真是泰裤辣,1,2
124,心肺骤停,1,3
125,笑死蹭网络垃圾的流量,1,0
126,这什么牛马,1,3
127,没有语无伦次的精髓,1,1
128,农具,1,4
129,假的,1,3
130,帝帝,1,5
131,你这也不是中分,1,2
132,炒cp是吧,1,2
133,这声音好man哦,1,2
134,融合梗出现了,1,5
135,真像董明珠,1,2
136,好娘,1,3
137,刷怪笼,1,4
138,泰裤啦,1,3
139,在家电下乡,1,4
140,为啥台味这么浓烈,1,0
141,你怎么又来辣,1,3
142,一模一样,1,2
143,喷射战士是吧,1,4
144,元素过多,1,4
145,頁的钛k辣,1,5
146,救命,1,4
147,甚至有回响音效,1,3
148,围鬼救花,1,4
149,美泰二裤,1,5
150,董明珠早期视频,1,3
151,好活,1,4
152,贞德食泥鸭,1,1
153,What,1,3
154,终于还是联名了吗,1,1
155,牛逼,1,4
156,太他妈有才了up主,1,0
157,那个蔡好了,1,5
158,浊心斯卡蒂,1,2
159,他在讲什么,1,3
160,差点信了,1,1
161,似男似女,1,2
162,表里不一,1,0
163,byd真的上瘾了呗,1,4
164,老艺术家的从容,1,5
165,坤6,1,2
166,原版视频,1,3
167,我们舟怎么你了,1,5
168,钻石乔治减肥版,1,3
169,那就菜好乐,1,2
170,历史性的一刻,1,5
171,家电下乡演唱会,1,4
172,太搞笑了,1,1
173,那可泰好了,1,3
174,这是中文,1,3
175,太美太酷,1,4
176,泰库拉,1,2
177,小丑,1,3
178,肽骷腊,1,4
179,要来力喜,1,3
180,男还是女的,1,3
181,小鬼背刺队友,1,1
182,泰坤辣,1,3
183,坤拳,1,2
184,双重特工,1,4
185,牛破,1,3
186,安娜贝尔,1,4
187,做一,1,3
188,卧槽蚌埠住了,1,2
189,肯德只因,1,2
190,毫无文化水平的发言,1,1
191,爱坤背债300万,1,4
