,content,count,emo
0,蚌埠住了,11,3
1,奖励哥,5,4
2,给粉丝大逼兜的屑,4,4
3,wc海盗狗,3,4
4,尸体,3,2
5,海盗狗,3,4
6,奖励小子,3,5
7,疯狂奖励,3,3
8,离谱,3,2
9,笑死我了,3,2
10,文艺复兴,3,3
11,没绷住,2,2
12,好健康的脸色,2,4
13,家乡的小曲,2,5
14,奖励,2,3
15,笑死了,2,2
16,妈妈指苏联,2,5
17,天皇御用琴师,2,1
18,恩 将 仇 报,2,2
19,泰裤辣,2,3
20,家乡の小曲,2,5
21,hop,2,3
22,这下全听懂了,2,3
23,在恒河奖励自己的屑,2,3
24,眼前一黑,2,5
25,av170001,2,3
26,好家伙,2,3
27,天皇,2,3
28,本色出演,2,3
29,逆天,2,1
30,保加利亚妖王,2,5
31,小鬼子,2,3
32,毫无违和感,2,3
33,日本天皇,2,4
34,难绷,2,3
35,火钳刘明,2,4
36,图哇内狗踢糯幻,1,4
37,捣蛋鬼,1,5
38,友情演出,1,5
39,当众奖励自己,1,3
40,呀 题 克,1,5
41,苏卡布列,1,1
42,天皇遇刺了悲,1,5
43, 好活,1,4
44,开坦克还奖励的屑,1,5
45,这要猜吗,1,3
46,233333,1,3
47,真的撒库拉,1,2
48,保加利亚裤王,1,5
49,米奇妙妙屋,1,4
50,来啦,1,3
51,精神损伤了谢邀,1,4
52,一口奶茶喷出来,1,1
53,撸大伤身,1,4
54,天皇的男宠是吧,1,5
55,印裤辣,1,3
56,有那味了,1,3
57,妖王azis风评被害,1,4
58,什么鬼,1,3
59,咖喱味十足,1,3
60,日裤辣什,1,5
61,俄裤辣,1,3
62,加裤辣,1,3
63,为什么不是我爱罗,1,2
64,hhh,1,3
65,日文裤袜辛苦,1,5
66,保加利亚巫妖王,1,5
67,保利加裤王,1,5
68,上次还是鸡你太美了,1,5
69,太酷啦,1,3
70,中苏恶交找到原因了,1,5
71,想笑死我了是吧,1,3
72,Zakura,1,3
73,御前逝喂,1,3
74,为什么不是たくら,1,2
75,鬼畜区天皇回归,1,5
76,滑动变阻器,1,3
77,这个有点意思,1,3
78,天皇友情客串,1,3
79,你最好真的在弹琴,1,5
80,恒河祷告,1,2
81,早泄阳痿,1,2
82,娘希匹误,1,4
83,一脸油真配妖王滤镜,1,5
84,鬼姬,1,3
