,content,count,emo
0,要来力,34,3
1,泰裤辣,31,3
2,大张伟,17,0
3,家电下乡,11,4
4,我测深圳,10,2
5,一模一样,7,2
6,毫无违和感,6,3
7,开始吟唱,6,4
8,泰酷辣,5,3
9,病句,4,2
10,全文背诵,4,5
11,难绷,4,3
12,变声期,3,3
13,格力集团招聘演唱会,3,0
14,格力电器家电下乡,3,5
15,做空调,3,2
16,我不信,3,2
17,离谱,3,2
18,如约而至的出现了,3,3
19,银角大王,3,4
20,疑似,3,1
21,那可泰好了,2,3
22,逆天,2,1
23,泰裤啦,2,3
24,好空调格力造,2,1
25,好尬,2,3
26,空调下乡,2,1
27,来了来了,2,5
28,不务正业,2,1
29,像大张伟,2,0
30,假的,2,3
31,原告董明珠,2,2
32,刘谦,2,5
33,格力年会,2,2
34,笑死我了,2,2
35,我40帧,2,3
36,多动症,2,4
37,我射深圳,2,2
38,来了,2,3
39,坐医院,2,4
40,要来咧,2,3
41,萧亚轩,2,2
42,真的吗我不信,2,2
43,我死在深圳,2,1
44,做阴乐,2,3
45,蚌埠住了,2,3
46,那可太好辣,2,2
47,那可太好了,2,2
48,卖空调,2,1
49,要来辣,2,3
50,要来力喜,2,3
51,放在路灯上,1,2
52,好油,1,3
53,空调,1,1
54,比如挂在路灯上,1,1
55,一直坚持买空调,1,1
56,是病句,1,3
57,毫无ps痕迹,1,1
58,竟然有点好看,1,1
59,李秀满,1,4
60,我塔码爱你们深圳,1,3
61,董明珠无辜躺枪,1,2
62,Ai董明珠,1,2
63,还是管一下吧哥,1,3
64,訤痾奤秏鰳,1,2
65,阴乐,1,3
66,我在家疯狂吹格力空调,1,2
67,拉库里辣,1,3
68,至了还加出现,1,3
69,次奥,1,4
70,确实没区别,1,2
71,真的吗 那可太好了,1,3
72,做1,1,2
73,我厕深圳,1,0
74,明珠家电下乡,1,4
75,买格力,1,4
76,我很赏你们,1,3
77,多此一举,1,2
78,给我点针叫声,1,1
79,画蛇添足,1,2
80,坐音乐,1,4
81,学MJ你配吗,1,4
82,比他好看,1,4
83,说一大堆屁话,1,0
84,换了脸吗,1,1
85,自恋,1,2
86,董大嘴,1,3
87,桀骜不驯,1,4
88,指格力手机,1,2
