,content,count,emo
0,自夸小队,90,5
1,泰裤辣,84,3
2,哪位爷,41,3
3,猴,34,3
4,正片开始,34,3
5,翠花,31,5
6,紧张是你的武器,28,4
7,因为爱情,26,5
8,因为爱,24,4
9,社交恐惧,23,5
10,社交恐怖分子,19,4
11,全体起立,16,1
12,好帅,16,3
13,爷青回,15,2
14,啊啊啊啊啊啊,13,5
15,帅,13,5
16,啊啊啊啊啊啊啊啊,12,5
17,花少北,12,2
18,社恐,12,0
19,啊啊啊啊啊啊啊啊啊,10,5
20,他好帅他好帅啊,10,2
21,使命必达,10,5
22,帮你实现,9,3
23,啊啊啊啊啊,9,5
24,泰裤啦,8,3
25,口口口口,8,2
26,泪目,8,4
27,今夕是何年,7,4
28,北子,7,3
29,太帅啦,7,3
30,啊啊啊啊啊啊啊,7,5
31,太帅了,7,3
32,北子哥,7,3
33,啊啊啊啊啊啊啊啊啊啊,7,5
34,好帅啊,6,3
35,我想呼风唤雨,6,4
36,你好爱她,6,4
37,财大牛逼,6,4
38,呼风唤雨,6,4
39,PPAP,6,3
40,翠花老婆,6,5
41,我很内向,5,3
42,翠花好美,5,5
43,痛失网名,5,3
44,泰裤辣嘶吼,5,4
45,因为爱啊,5,4
46,巴比伦,5,4
47,知名酒鬼,5,3
48,因为你爱她,5,3
49,啊啊啊,4,4
50,因为你超爱,4,4
51,好可爱,4,5
52,那位爷,4,4
53,内向,4,2
54,这就是爱,4,4
55,泪目了,4,4
56,可爱捏,4,4
57,上海zoo,4,2
58,社交恐怖,4,1
59,翠花老师,4,5
