,content,count,emo
0,泰裤辣,198,3
1,泰酷辣,37,3
2,薄纱,27,3
3,泰裤啦,25,3
4,亡灵凯,14,2
5,绷不住了,11,2
6,太酷啦,11,3
7,笑死,10,2
8,大拇哥,10,3
9,胡彦斌你让我哭,10,1
10,笑死了,10,2
11,笑死我了,10,2
12,难绷,9,3
13,给你大拇哥,9,3
14,逆天,8,1
15,说得好,7,3
16,好尴尬,7,2
17,妈妈生的,7,5
18,我给你大拇哥,6,3
19,你能吗,6,3
20,捣蛋鬼,6,5
21,牛逼,6,4
22,薄纱了,6,3
23,蚌埠住了,6,3
24,急了,6,2
25,好尬,5,3
26,什么鬼,5,3
27,确实,5,3
28,于文文,5,3
29,什么玩意,5,0
30,没毛病,5,2
31,CPU烧了,5,1
32,真实,4,4
33,不同的物种,4,3
34,太裤辣,4,3
35,高情商,4,5
36,要来力,4,3
37,太酷辣,4,3
38,恶心,4,0
39,他听不懂,4,2
40,董明珠,4,2
41,爆杀,4,3
42,对对对,4,3
43,极限一换一,4,0
44,绝杀,4,3
45,社交媒体,4,3
46,赞同,4,3
47,你厉害我给你大拇哥,4,2
48,小鬼小丑,4,3
49,真是泰裤辣,3,3
50,丢人,3,0
51,他在干嘛,3,1
52,老子嗦了蒜,3,4
53,越狱,3,3
54,太蠢了,3,3
55,太棒了,3,5
56,尬死我了,3,1
57,泰酷拉,3,1
58,我觉得你说的对,3,2
59,小丑,3,3
60,hhhhhh,3,3
61,尬死了,3,1
62,高下立判,3,2
63,破防了,3,1
64,好骂,3,3
65,我很认可,3,5
66,吃了没文化的亏,3,3
67,不值得不值得,3,4
68,泰苦辣,3,3
69,认可,3,4
70,越狱bgm,3,2
71,劳资嗦了蒜,3,2
72,说的好,3,3
73,泰酷啦,3,2
74,断章取义的弟弟,3,4
75,小鬼听不懂,3,3
76,劳哥,3,3
77,太尬了,3,3
78,出院,3,3
79,厕所,3,1
80,音乐人,2,4
81,太自大了,2,3
82,泰尬辣,2,3
83,反杀,2,3
84,觉得说的对的扣1,2,0
85,玩儿,2,1
86,尸鬼封尽,2,2
87,名场面,2,3
88,傲慢的演奏家,2,0
89,你厉害,2,2
90,的确,2,3
91,于文文我的笑不是笑,2,4
92,玩尬的,2,3
93,蛇了,2,4
94,我是鬼人鬼人,2,4
95,胡彦斌,2,0
96,周姐,2,3
97,端木燕,2,1
98,赞同1,2,2
99,我立刻给你大拇哥,2,2
100,离于文文远点,2,2
101,没必要没必要,2,1
102,攻击性有待提高,2,1
103,牛批,2,3
104,真丢人,2,0
105,支持,2,3
106,我觉得这件事情,2,3
107,建议封杀,2,0
108,小乐队,2,3
109,胡彦斌快蚌埠住了,2,1
110,那么这件事情泰裤辣,2,3
111,他听得懂吗,2,3
112,太没教养了,2,2
113,勇士,2,2
114,今天泰裤辣,2,3
115,于文文好好看,2,4
116,你厉害给你大拇哥,2,2
117,杀人诛心,2,4
118,正确的,2,4
119,老师蚌埠住了,2,5
120,尴尬死了,2,0
121,泰裤拉,2,2
122,毁我歌气死,2,0
123,猪脑过载,2,2
124,没文化真可怕,2,2
125,绝望的文盲,2,3
126,剧本,2,4
127,笑嘻了,2,4
128,是来搞笑的,2,2
129,没文化,2,2
130,好像还真能,2,2
131,难绷了,2,3
132,给你个大拇哥,2,3
133,泰库辣,2,3
134,我给你两巴掌,2,0
135,奖励小子,2,5
136,傻鸟,2,3
137,你说得对但是,2,2
138,那我给你大拇哥,2,3
139,小学生,2,1
140,他听不懂的他没文化,2,2
141,漂亮,2,5
142,答辩,2,3
143,捣蛋鬼别捣蛋,2,5
144,无语,2,2
145,顶级,2,5
146,如果你也可以像我一样,2,3
147,可爱捏,2,4
148,走出所有社交媒体,2,3
149,我笑死,2,0
150,尬住了,2,2
151,于文文倒大霉,2,0
152,我是一个固执的人,2,5
153,老师牛逼,2,5
154,真的是泰裤辣,2,3
155,他进来过吗,2,2
156,高下立见,2,2
157,你谁,2,3
158,什么时候进的,1,2
159,精准,1,5
160,好牛摩洛哥炒饼,1,4
161,吓死,1,1
162,于文文加钱,1,2
163,重新定义认可,1,4
164,其实是来搏命的,1,5
165,靠父母可以,1,5
166,沙雕,1,5
167,沙雕了,1,5
168,确实不上台面,1,1
169,在一起嫁给他,1,3
170,恶心人,1,0
171,对的呀,1,3
172,老师好敢,1,5
173,牛皮,1,4
174,月牙天冲,1,1
175,这娃指定有点毛病,1,4
176,他能个DER,1,2
177,这个回击弱爆了,1,1
178,他哪里来的自信我天,1,5
179,这真是个奇葩,1,3
180,技术瑕疵指没修音,1,0
181,那就泰裤辣,1,3
182,好尬脚趾扣地了,1,1
183,我要被他气死了,1,1
184,真尴尬,1,1
185,帅otto,1,5
186,傻叉,1,3
187,我给你大比兜,1,3
188,你在侮辱小乐队,1,1
189,滚回家玩去,1,4
190,JERK OFF,1,2
191,我还以为是金星,1,4
192,他是评委,1,1
193,不太聪明的亚子,1,1
194,垃圾,1,0
195,给你大拇哥儿,1,0
196,或者家电下乡,1,4
197,彩虹屁,1,3
198,像吸多了一样,1,2
199,打磨大拇哥确信,1,4
200,满脸问号,1,0
201,文盲蚌埠煮了,1,0
202,于文文猪队友,1,2
203,天呐这什么村头混混,1,1
204,文盲听不懂的,1,2
205,尬死了他都,1,1
206,胡彦斌差点就站起来,1,0
207,回家去玩吧,1,5
208,于带不动,1,2
209,什么啥缺,1,1
210,怎么感觉像吸d的表情,1,2
211,她有进来过吗,1,2
212,帅的,1,5
213,救命好尴尬,1,4
214,胡彦斌的表情,1,1
215,耍赖皮了,1,2
216,这种还不封杀,1,0
217,你固你奶的固执,1,5
218,这里说的比较委婉了,1,4
219,女的高音也没上去,1,2
220,王琳凯粉丝真没脑,1,5
221,他听不懂吧,1,2
222,怂B被说的哑口无言,1,0
223,中专是这样说话的,1,4
224,还不是小迷妹撑起的,1,3
225,跳个鸡冠子在那跳,1,1
226,唱歌还是做法,1,3
227,王琳凯太la了,1,3
228,我觉得你说得对,1,2
229,你厉害 我给你大拇哥,1,2
230,byd,1,3
231,这两人唱的都一般,1,2
232,小鬼粉丝破防,1,2
233,什么混混,1,1
234,两个人都唱的不行,1,3
235,呦呦呦,1,0
236,什么小丑,1,3
237,快速膨胀,1,5
238,大师就是不一样,1,5
239,我只想说泰裤啦,1,1
240,泰裤啦说的听不懂,1,1
241,这男的女的,1,3
242,觉得自己牛逼了,1,4
243,疯狂输出,1,3
244,手速真快,1,4
245,忍不住笑了,1,4
246,不值老师,1,3
247,老师好会说捏,1,4
248,泰裤辣玩儿,1,1
249,太苦了,1,3
250,没文化又爱装,1,2
251,cpu燃烧中,1,4
252,胡彦斌不屑的表情,1,0
253,小乐队自曝啦,1,2
254,老师怼的太好了,1,5
255,没礼貌当个性吗,1,3
256,早知道请他去当老师了,1,4
257,不屑jpg,1,2
258,态度恶劣,1,0
259,真的闹餐,1,4
260,大胆,1,5
261,像禽类求偶,1,2
262,两边都不怎么和气,1,1
263,没学问是这样的,1,1
264,给小母哥不行吗恼,1,2
265,小鬼的cpu烧了,1,2
266,这是p的吗,1,3
267,要冲了要冲了,1,3
268,它真的泰裤辣,1,3
269,真有这b鬼粉丝,1,5
270,他的手在干嘛,1,1
271,有被尬到,1,3
272,也就这点文化素养了,1,2
273,没实力还那么狂,1,4
274,说的对,1,2
275,都分不出男女,1,2
276,经典和稀泥恶心至极,1,0
277,太裤辣给你大拇哥,1,2
278,撒哭啦骂他他,1,3
279,只因库拉,1,2
280,马裤啦,1,3
281,中专听不懂,1,4
282,手工达人,1,2
283,就会这两句网络烂梗啦,1,0
284,但是尼玛,1,3
285,答辩是答辩,1,2
286,再说要打起来了,1,3
287,典型没教养,1,2
288,我点你大拇哥,1,2
289,猎杀时刻,1,3
290,这他妈剧本吧,1,3
291,于文文又是什么玩意,1,1
292,没必要让他去死吧,1,1
293,前方核能,1,4
294,医美的瑕疵也挺明显的,1,2
295,都不是什么好鸟,1,2
296,这就叫逻辑情商碾压,1,4
297,瑕疵严重,1,2
298,太对啦哥,1,1
299,可以,1,3
300,纯xb,1,4
301,俺爱你胡彦斌,1,1
302,不演了,1,2
303,发癫,1,4
304,于文文问题也很大,1,4
305,靠 我以为是两个女的,1,3
306,感觉于文文好想逃,1,4
307,很蠢,1,4
308,像个小学生,1,1
309,你 厉 害,1,1
310,丁太某滑稽,1,1
311,我能当评委dog,1,1
312,好迷惑的一句话,1,3
313,汪哥怎么不评价两句,1,1
314,你猜他为什么是评委,1,1
315,安能边我是雌雄,1,5
316,圆场的来了,1,2
317,你猜猜他为什么是老师,1,5
318,热爱竖大拇哥,1,4
319,你说你吗呢,1,2
320,可他是评委,1,1
