,content,count,emo
0,哈哈哈哈哈哈哈哈,162,5
1,哈哈哈哈哈哈哈,146,5
2,哈哈哈哈哈哈哈哈哈,144,5
3,哈哈哈哈哈哈哈哈哈哈,115,5
4,哈哈哈哈哈哈,115,5
5,逍遥寡人,96,1
6,哈哈哈哈哈,88,5
7,啊啊啊啊啊啊啊啊,71,5
8,啊啊啊啊啊啊啊,67,5
9,啊啊啊啊啊啊,67,5
10,森林冰火人是你的谎言,62,5
11,逍遥寡王,61,3
12,哈哈哈哈,59,5
13,好可爱,50,5
14,般配,46,2
15,好甜,45,5
16,9999999,45,3
17,999999,45,3
18,99999999,42,3
19,啊啊啊啊啊啊啊啊啊啊,42,5
20,啊啊啊啊啊,42,5
21,哈哈哈,37,5
22,节奏大师,37,5
23,啊啊啊啊啊啊啊啊啊,37,5
24,母母好可爱,31,5
25,啊啊啊啊,30,5
26,99999,28,3
27,去你的森林冰火人,27,5
28,散人,26,2
29,好甜啊,26,5
30,9999,25,3
31,节奏大师lex,23,5
32,母哥好可爱,21,5
33,我向往自由,20,5
34,张小茄,18,3
35,太甜了,18,3
36,真好,17,3
37,结婚,16,3
38,甜甜甜,15,5
39,老蕾太会了,13,2
40,节奏大师雷克斯,13,5
41,老番茄,12,3
42,老番茄嫁得好啊,11,4
43,老番茄嫁的好啊,11,4
44,甜死我了,10,3
45,甜死了,10,3
46,太可爱了,10,4
47,一拜天地,9,3
48,99,9,2
49,寡王,9,5
50,笑死我了,9,2
51,太甜啦,9,3
52,祝福,8,5
53,kdlkdl,8,3
54,我是女粉,8,3
55,母哥好好看,8,3
56,散老师,8,4
57,kswl,8,3
58,磕到了磕到了,8,2
59,芜湖,8,5
60,awsl,8,3
61,好可爱啊,8,5
62,散人惨,8,3
63,老番茄嫁的好,8,4
64,磕到了,8,3
65,森林冰火人,7,5
66,母母,7,5
67,散散,7,2
68,ohhhhhhhh,7,3
69,啊啊啊,7,4
70,讲的好,7,4
71,确实,7,3
72,母母可爱,7,5
73,蕾丝太会了,7,3
74,蕾丝nb,7,4
75,蕾丝好会,7,3
76,散人老寡王了,7,4
77,一定要幸福,7,5
78,人类的悲欢并不相通,7,5
79,对象,6,4
80,hhhhhhhh,6,3
81,hhhhhh,6,3
82,腿好细,6,5
83,母哥太可爱了,6,3
84,好甜好甜,6,5
85,母母太可爱了,6,5
86,张小茄哈哈哈,6,5
87,可可爱爱,6,5
88,kdl,6,3
89,好家伙,6,3
90,好瘦啊,6,5
91,要幸福,6,5
92,卧槽,6,3
93,可爱,6,4
94,夜姐,5,3
95,即刻,5,3
96,女粉来了,5,3
97,番茄小说,5,4
98,啊啊啊啊啊好甜,5,5
99,嘴角疯狂上扬,5,2
