,0
0,《拆上几次也会修了》
1,现在他是余华笔下坎坷而伟大的普通人
2,这几句话的格局其实很大，反应了现在农村了现实
3,说不好过几年能写个app出来
4,是二舅顾住了整个村的乡亲们，却唯独没有顾得上自己
5,每个村都有一个树先生
6,说不定会成为冯骥才笔下的俗世奇人呢
7,几年后，二舅突破芯片3nm节点
8,一个腿脚不方便的人，却活成了全村的拐杖
9,谁说二舅这样的平凡人比不上栋梁？
10,如果二舅生活在一个家境好的地方，他会是一个伟大的科学家。
11,年轻人都走了，只剩老年人和村子一起老去
12,还在这里发“如果”没明白UP的良苦用心啊，就是告诉大家不要遗憾，活在当下
13,也许是上天派二舅做全村的守护神做小家的明灯
14,还好，这段视频让天下人都认识了二舅
15,两年后，二舅成功研制出0.5nm SoC
16,中国还有无数个二舅
17,原来文明6村民告诉你核聚变的秘密是有道理的
18,歪子？扛把子！
19,这家伙，没瘸我觉得我们可能享受到二舅的科研成果
20,我们理应认可平凡的自己，以及小资生活以外的生活方式。
21,天妒英才
22,二舅如果考上大学现在一定在中科院吧
23,上帝给二舅关了一扇窗，二舅自己打了一个三室一厅
24,二舅就是村子里的守护神！！！！！！！！！！！！！！！！！！！！！
25,二舅就是村子里的守护神！！！！！！！！！！！！！！！！！！！！！
26,学霸之所以是学霸，除了能搞深入研究，还有一种就是能帮到 所有身边人
27,截止现在，最感动的是那句“二舅总有办法！”
28,可惜了，不说那个医生，说不定能为祖国作出巨大贡献！
29,突然泪目，如果去了该去的大舞台，唉
30,二舅可能都去设计火箭了
31,真•全村的希望
32,啊，拆上几次就会修啦？！！ 
33,上天为他开了一扇门 也为他关了一扇窗
34,被针耽误的工程院士
35,二舅这辈子值了
36,我单方面宣布这是我二舅了
37,8.2W人和我一路看二舅～
38,敬二舅
39,敬二舅
40,敬二舅
41,敬二舅
42,敬二舅
43,敬二舅
44,文案，建议纳入教材
45,二舅全程没说一句话，你却替他笑看了苦难
46,真的如同  上校 一般存在
47,8.9W+一起看
48,敬二舅
49,敬二舅
50,我真的在哭 怎么会这样啊
51,敬二舅
52,敬二舅
53,敬二舅
54,敬二舅
55,敬二舅
56,敬二舅
57,敬二舅
58,敬二舅
59,敬二舅
60,敬二舅！
61,敬二舅！
62,敬二舅
63,敬二舅
64,敬二舅
65,哈哈哈哈哈
66,敬二舅
67,敬二舅
68,敬二舅
69,敬二舅
70,敬二舅
71,致二舅
72,敬二舅
73,什么宁宁那是你大表姐
74,敬二舅
75,手机：我滴任务……
76,敬二舅
77,敬二舅
78,敬二舅
79,敬二舅
80,敬二舅
81,敬二舅
82,敬二舅
83,敬二舅
84,敬二舅
85,致敬二舅
86,致二舅
87,敬二舅
88,敬二舅
89,哭了
90,敬二舅
91,敬二舅
92,敬二舅
