ctime,label,count,pos
0,3,60,5
0,7,28,65
0,4,2,93
0,2,1,95
1,7,119,5
1,5,111,124
1,3,45,235
1,4,14,280
1,0,1,294
2,7,144,5
2,5,46,149
2,6,26,195
2,3,25,221
2,4,23,246
2,0,4,269
3,5,143,5
3,7,49,148
3,3,21,197
3,4,21,218
3,1,12,239
3,2,7,251
3,6,6,258
3,0,2,264
4,5,228,5
4,7,128,233
4,0,105,361
4,6,82,466
4,1,66,548
4,4,46,614
4,3,43,660
4,2,31,703
5,5,124,5
5,3,81,129
5,7,70,210
5,0,55,280
5,6,44,335
5,1,31,379
5,4,27,410
5,2,8,437
