,0
0,《我的超人二舅》
1,这在走近科学能拍十集
2,《点 名 表 扬》
3,如若没有那场意外，他现在该过着怎样的生活。
4,靠这一句“可怜的老头”我本来笑了一声然后又哭了
5,造化弄人，如果当时那个“庸医”治好了二舅我感觉二舅一定能过的风生水起
6,如果没有那场病，二舅说不定就是一个高级工程师
7,此弟不宜久留
8,点名批评
9,《俗世奇才》
10,二舅一辈子都在创造和修复，包括他自己
11,如果当年不是那位医生，可能二舅现在造的就是这些了吧
12,《二舅总有办法》
13,在这个领域他是院士
14,此弟不宜久留
15,小孩是小，不是瞎！
16,小孩是小，不是瞎
17,其实二舅一直都是个天才少年 只是有扇窗被关了
18,六边形工匠！
19,真的是让我又哭又笑
20,woc太对了！！！
21,酷毙了，好吧！
22,？？？？？
23,看了这么多，我真的感觉很遗憾。好好的人生，因为一个医生毁了。
24,不知道为什么，看到那个盒子就绷不住了
25,我靠，这句话简直戳爆我的泪点了，果然老年人都是时代遗弃的产物
26,异世界二舅
27,路上顺便做了件衣服换上了
28,神仙下凡辛苦了
29,哈哈哈哈哈哈世另我
30,二舅！真的！我哭死
31,光刻机：躲过一劫
32,说毕十三的那个，如果你能看见我的弹幕，希望能能联系到你
33,我只会刷视屏
34,天啊真的《总有办法》
35,快 手 阿 修
36,《挂》
37,此弟不宜久留
38,「小孩是小，不是瞎。」
39,二舅真的是天才，可惜了
40,敬二舅
41,二舅太厉害了
42,太厉害了
43,六边形工匠
44,小孩是小，但不是瞎
45,全能的二舅
46,二舅真的脑子很好啊
47,一语双关啊
48,二舅总有办法
49,二舅真的好酷
50,哈哈哈哈哈哈哈哈哈
51,靠 牛逼
52,？？？？？？？
53,敬二舅
54,字写的真好看啊
55,可惜没有如果
56,他才是好好的生活
57,看着这个视频 一边笑，一边流泪
58,弹幕呢
59,乡村达芬奇
60,哭了T﹏T
61,他没有走出这座山，却成了这座山的神
62,字好好看
63,他喜欢喝酒吗
64,小孩是小，不是瞎
65,太牛了
66,四针的偏差，于是少了一个意气风发的二舅
67,多难想象，若是没有那四针，他的人生也会向这些图画一样令人惊艳吧
68,二舅太棒了，不是命运的捉弄，妥妥的大才啊
69,啊这
70,二舅被逼成神婆是我没想到的
71,真心感叹，太厉害了
72,就是突然想到外公外婆，就真的哭了。
73,说实话，我感觉毕十三比不上二舅(哈哈)
74,太牛逼二舅
75,最酷的老头呜呜呜呜！！
76,二舅：我谢谢你俩奥
77,全才啊
78,雷达图满格！
79,给二舅递烟
80,好酷啊这个！！！！
81,《二舅总有办法》
82,二舅真酷
83,天才啊
84,哇，跟我奶奶同款的收音机
85,他好厉害啊
86,天才永远是天才
87,天啊真的《总有办法》
88,如果当时二舅没有放弃学业的话现在生活应该会更好点吧，二舅真是太厉害了
89,哇
90,无所不能的二舅
91,从小就聪明的
92,二舅总有办法
93,！！！！！！！！！！！！！！！！
94,生活何尝不是苦中作乐呢
95,敬二舅
96,敬二舅
97,二舅超酷的呜呜呜
98,敬二舅
99,单身使人优秀
100,二舅太牛了，敬佩
101,小孩是小，不是瞎
102,二舅总有办法
103,六边形战士二舅
104,看到这实在忍不住说一句二舅牛批
105,哈哈哈哈哈哈哈哈哈哈又想哭又想笑
106,命运开了个玩笑而已
107,牛啊牛啊
108,二舅啥都会
109,太牛了我趣
110,妈呀，这块好想哭
111,0
112,6
113,以身作则
114,六边形战士
115,毕十三
116,感觉好有
117,六边形战士
118,这DIY能力可以考虑UP主了
119,同情他的小时候遭遇又羡慕他的才能
120,敬二舅
121,绝了文采
122,哈哈哈哈跟我外婆一样
123,牛牛牛
