time,emo0,emo1,emo2,emo3,emo4,emo5
0,208,338,583,867,522,459
1,220,360,596,811,457,434
2,196,351,566,771,403,390
3,163,294,491,695,384,363
4,167,300,472,643,364,337
5,177,318,492,675,377,298
6,167,257,359,528,285,244
7,102,165,281,427,219,190
8,69,114,219,337,186,159
9,57,93,144,217,107,99
