,content,count,emo
0,泰裤辣,11,3
1,奖励自己,9,3
2,逆天,3,1
3,泪目,2,4
4,要来力,2,3
5,奖励,2,3
6,狂人日记,2,4
7,你们别害怕,2,2
8,这是谁,2,3
9,笑死,2,2
10,绷不住了,2,2
11,暗藏玄只因,2,4
12,捣蛋鬼,2,5
13,笑死老子,1,5
14,首冲,1,3
15,我想要海尔可以吗,1,1
16,扣币,1,3
17,红红火火恍恍惚惚,1,5
18,毫无违和感,1,3
19,涂指甲油了,1,1
20,董明珠你干嘛呢,1,1
21,高焯了,1,3
22,永冻只因,1,1
23,于老爷子直呼内行,1,4
24,我的世界怎么你了,1,5
25,这人是谁,1,3
26,梦幻联动,1,5
27,不至于不至于,1,4
28,太温柔辣,1,4
29,贪食蛇是吧首尾呼应,1,5
30,700奖励自己,1,4
31,ttk1自摸ttk,1,2
32,无聊,1,1
33,chao,1,3
34,抄袭鬼,1,2
35,蚌埠住了,1,3
36,谢谢我不吃,1,2
37,家电太多辣,1,3
38,奖励哥,1,4
39,手势萎缩,1,1
40,大肠刺身,1,2
41,手势猥琐,1,0
42,鸽鸽,1,2
43,端木将军幻视,1,3
44,111真的吗,1,1
45,两眼一黑,1,2
46,好丑,1,2
47,什么b动静,1,2
48,伟大的导师,1,5
49,张瑞轩扇贝,1,2
50,蚌埠住啦,1,0
51,iku,1,3
52,发我要空调,1,0
53,当场奖励自己,1,1
54,噜噜噜,1,2
55,暗藏只因,1,4
56,嗝儿力空调,1,2
57,格力打钱,1,1
58,欧耶是船新版本耶,1,3
59,巧了我也是,1,5
60,笑死我了,1,2
61,妖魔鬼怪速速退散,1,1
62,台下都是些什么人,1,5
63,自我安慰,1,4
64,逆天手势,1,0
65,家电下乡大力支持,1,4
66,景和是你吗,1,4
67,您在干什么,1,1
68,我们家坤坤后继有人了,1,2
69,大妈泰裤辣,1,0
70,暗藏玄机,1,4
71,字正腔圆,1,3
72,谢谢你王明珠老师,1,5
73,这mc音效,1,4
74,这一句蚌埠住了,1,3
75,希望你们能够喜欢,1,4
76,大粑粑,1,2
77,众爱卿为何一言不发,1,0
78,那可太好了,1,2
79,果真吗,1,3
80,电锯人是吧,1,2
81,我丢,1,2
82,铁索连环加火杀,1,2
83,笑死了,1,2
84,拿瓦怕我,1,3
85,合理,1,3
86,合乎孙礼,1,3
87,端木燕,1,1
88,永冻鸡,1,3
89,压力马斯内即答,1,2
90,你食不食油饼,1,4
91,审核泰裤啦,1,0
92, 像 ,1,3
93,压力马斯内,1,2
94,太感动辣,1,4
95,格er力空调er,1,1
96,离谱,1,2
97,蜘蛛侠,1,5
98,确实酷,1,4
99,喜欢,1,4
100,断肠人是吧,1,2
101,请不要吃掉瑞典的鸡,1,2
102,空调下乡你刚刚说的,1,1
103,汰骷蜡,1,1
104,没有熟肉吗,1,3
105,露出只因脚了吧,1,2
106,活字印刷,1,2
107,捣蛋鬼别捣蛋,1,5
108,活字印刷术,1,2
109,他真的我哭死,1,3
110,ger力空调,1,2
111,逐渐恶心,1,0
112,我外公还在旁边,1,4
113,闭膛连发,1,1
114,永动只因,1,2
115,单走一个,1,2
116,此时无声胜有声,1,5
117,王琳凯,1,4
118,mc好评,1,2
119,开幕雷只因,1,2
120,天天打飞机,1,3
121,难绷,1,3
122,有即答,1,3
123,这个表情,1,3
124,说唱界董明珠,1,2
125,开屏雷只因,1,5
126,格力掌握核心科技,1,5
127,你在教我做事,1,2
128,奖励哪个奖励,1,4
129,什么小黑子,1,3
130,省流MC风评被害,1,0
131,卖格力空调,1,2
132,我不吃 谢谢,1,2
133,狗头,1,4
134,真的吗,1,3
135,断章取义的地底,1,5
136,鬣狗主任,1,5
137,蛇了,1,4
138,我能不害怕吗,1,1
139,打飞只因,1,3
140,家电下乡真的酷好吗,1,5
141,突然正能量,1,4
142,太色拉,1,2
143,我不懂但是大受震撼,1,3
144,摸猪油,1,2
145,就离谱,1,2
146,省流暗藏玄只因,1,4
147,月牙天冲,1,1
148,真正的导师,1,5
149,他真的哭死,1,3
150,女粉丝自己奖励自己,1,4
151,奖励自己是吧,1,3
152,露出黑脚了,1,2
153,手势满分,1,3
154,主打的就是一个格局,1,2
155,狠狠地奖励了三次,1,3
156,裤衩子泰裤啦,1,5
157,你特么这是撸出电了,1,2
158,谁发的捣蛋鬼笑尿了,1,1
159,樱井景和幻视,1,4
160,连坤坤的尾灯都看不到,1,2
161,家电shia江,1,4
162,现在就在,1,3
