,content,count,emo
0,泰裤辣,57,3
1,火钳刘明,9,4
2,奖励哥,4,4
3,我就知道,4,3
4,泰酷辣,4,3
5,泪目,3,4
6,TKL,3,3
7,英文字幕泰裤辣,2,1
8,泰酷啦,2,2
9,恶心,2,0
10,他们说的对,2,2
11,虎哥友情客串,2,3
12,笑死,2,2
13,泰裤啦,2,3
14,经典,2,4
15,董润祺,2,2
16,Sakura,2,3
17,tequila,2,3
18,你厉害我给你大拇哥,1,2
19,给你一个大拇哥,1,2
20,好听,1,2
21,点进来前就开始笑,1,3
22,有当年坤哥的风范,1,5
23,格力下场开团,1,1
24,光速磨针,1,2
25,泰 裤 辣,1,4
26,不妙了,1,3
27,泰对辣,1,1
28,太苦dua,1,2
29,舞台紫薇是吧,1,3
30,字幕在干什么,1,0
31,泰文,1,2
32,太困啦,1,1
33,比他的rap好,1,3
34,董明珠是无辜的,1,3
35,她肯定没有一米七,1,2
36,有望成为下一个坤坤,1,2
37,文艺复兴,1,3
38,突然觉得像乒乒乓乓,1,2
39,ikun光荣下岗,1,3
40,老子唆了蒜,1,5
41,下次一定,1,3
42,    ,1,3
43,保护,1,3
44,四大跳神,1,3
45,首页通知书,1,3
46,全世界都在刷b三狼,1,3
47,歪比歪比 歪比巴卜,1,0
48,柱子是你吗,1,2
49,泪目听裤了,1,4
50,泰    く　辣,1,1
51,看到封面就笑了,1,5
52,泰坤辣,1,3
53,预计会火插个眼,1,0
54,开屏暴击,1,3
55,呼呼烫手,1,2
56,这个鬼畜太文艺复兴了,1,4
57,我给你树大拇哥,1,5
58,嗦了蒜,1,2
59,泰裤辣给你个大拇哥,1,2
60,要素过多,1,0
61,奖励时间到,1,3
62,全世界都泰裤辣是吧,1,3
63,虎哥友情配音,1,5
64,she律师函警告,1,5
65,泰酷市,1,1
66,说我傻子咩人扇嘴巴子,1,0
67,老子嗦了蒜,1,4
68,别只用宋体,1,4
69,紧跟鬼流,1,4
70,辣似森得卡阔以,1,1
71,故意不小心的,1,0
72,捣蛋鬼压轴出场,1,5
73,水遁水龙弹之术,1,2
74,我没说,1,0
75,鬼畜必经曲,1,5
76,怎么弄的,1,1
77,太美了,1,4
78,太 裤 辣 ,1,4
79,从此鸡哥便有了传人,1,5
80,sakura,1,3
81,泰库辣,1,3
82,大拇哥,1,3
83,这个字幕,1,2
84,原告格力,1,2
85,点赞,1,5
86,kksk,1,3
87,ace b,1,3
88,奖励,1,3
89,你厉害给你大拇哥,1,2
90,泰  坤   辣,1,1
91,这个都能成为梗,1,3
92, 没 有 麻 辣,1,2
93,这个其实没那么好听,1,1
94,杀马特永不死,1,3
95,没有当时老鲲的热庹,1,1
96,那些人都不玩了,1,3
97,我根本不管,1,3
98,比他本人说唱的好,1,3
99,小亮友情客串,1,3
100,178把把击杀,1,1
101,省流奖励哥,1,4
102,AE教学片,1,5
103,他甚至为此建了一座城,1,4
104,原告中国话,1,4
105,细嗦,1,3
106,说的不对吗,1,1
107,火钳留明,1,1
108,以前鬼畜的味道,1,2
109,这是奖励自己,1,3
110,烂活,1,1
111,40,1,1
112,九转藏品,1,3
113,笑死我了英语字幕,1,1
114,数字九转大肠确信,1,5
115,深圳,1,2
116,好家伙,1,3
117,格力空调宣传视频,1,0
118,艾斯碧,1,4
119,刚点进来就绷不住,1,0
120,太kun辣,1,1
121,太酷了,1,3
122,毁童年,1,3
123,聪明,1,3
124,泰裤辣yes,1,3
125,英文字幕亮了,1,1
126,牛逼 这填词,1,5
127,太哭辣,1,3
128,禁忌二重唱,1,5
129,禁忌二重奏,1,5
130,好經典的mv,1,3
131,帅逼,1,5
132,Silly Bi,1,2
133,撒库拉幻听,1,4
134,全明星预告,1,4
135,歪比歪比,1,0
136,还热乎,1,3
137,AIPC,1,3
138,大制作,1,4
139,因为字母泰裤辣,1,0
140,114514警撅,1,4
141,是古早味鬼畜,1,5
142,泰裤啦超大声,1,1
143,很难不火,1,1
144,自炒,1,2
145,太辣,1,2
146,笑出了腹肌,1,5
147,故郷の言葉doge,1,3
148,泰太酷了,1,1
149,泰酷拉,1,1
150,开头就蚌埠住了,1,4
151,绷不住了,1,2
152,迈阿密风评屡次受害,1,1
153,泰裤辣突然升高,1,2
154,给你大拇哥,1,3
155,bi,1,3
156,i love 柯洁,1,1
157,德古拉幻听,1,5
158,太坤辣,1,3
159,深圳罪不至此,1,2
160,人声大提琴是吧,1,4
161,这tm才叫rap,1,2
162,还有日文我是没想到的,1,4
163,那可真是泰裤辣,1,3
164,蔡坤辣,1,3
165,潮男试制作,1,4
166,开庭时带上你的城,1,3
167,泰坤啦幻听,1,5
168,家电下乡,1,4
169,每天一遍,1,4
170,奖励自我中,1,5
171,深圳勿Q,1,1
172,经典再现,1,5
173,DDs DD,1,2
174,下面字幕故鄉の言葉,1,5
175,说唱歌手有本科的吗,1,5
176,奖励一下,1,3
177,确实,1,3
178,词硬配什么曲都行,1,2
179,怎么有点好听,1,1
180,此时无声胜有声,1,5
181,英语字幕泰裤辣,1,1
182,是什么为什么怎么做,1,3
183,byd燃起来了,1,2
184,篮球,1,3
185,一次听个爽,1,4
186,不忘初心方得始终,1,1
187,太坤啦,1,3
188,泪目听哭了,1,5
189,好活太酷啦,1,4
190,给你大姆哥,1,3
191,这视频材料哪来的,1,4
