,content,count,emo
0,泰裤辣,6,3
1,中门对狙,2,2
2,半小时前,1,2
3,我的坤坤不黑,1,1
4,大实话,1,1
5,我的不黑,1,2
6,泰褲辣,1,1
7,油光满面,1,3
8,泰   镁   辣,1,3
9,怎么有一股成龙味,1,1
10,蔡裤辣,1,3
11,不行 我ikun,1,1
12,小黑子,1,3
13,不是野兽先辈差评,1,0
14,捞一捞,1,4
15,真的是你呀嗨嗨哎呀,1,0
16,坤毛,1,2
17,说的泰裤辣,1,2
18,这还确实无可反驳,1,5
19,太酷啦,1,3
20,小鬼也是小黑子,1,3
21,你们有坤坤吗,1,2
22,太困啦,1,1
23,太坤啦,1,3
24,辣鸡,1,4
25,太酷了,1,3
26,ikun,1,3
27,开屏暴击,1,3
28,我是ikun,1,3
29,俺也不一样,1,2
30,这确实,1,3
31,好康,1,3
32,ikun砸场子,1,2
33,真ikun,1,3
34,我的不是黑色,1,2
35,戳啦鸡拔毛嘛,1,2
36,发琴的牡笱太恐怖了,1,0
37,嘴型都对上了,1,3
38,一时分不清敌友,1,1
39,我也讨厌,1,3
40,谢谢夸奖,1,3
41,嬉皮笑脸,1,4
42,一股广西味呢,1,1
43,谁教你这么剪的,1,3
44,鸡你太美,1,5
45,上女人的能力,1,4
46,太库拉,1,2
47,羽毛,1,3
48,笑死我了,1,2
49,逆天跪舔,1,2
50,戳啦是极霸矛嘛,1,0
51,疯狗,1,2
52,泰裤拉,1,2
53,xswl,1,3
54,我超蒸,1,1
55,泰酷辣,1,3
