,content,count,emo
0,根本难不倒他,18,1
1,专业对口,14,3
2,我生日,12,3
3,泰裤辣,8,3
4,根据答案出题,7,5
5,鸡裤同笼,6,2
6,大便开吃,6,2
7,三太子,4,5
8,绷不住了,4,2
9,诞生于199,4,5
10,有点能耐,4,3
11,新手保护期,4,3
12,鸡 裤 同 笼,3,5
13,生动形象,3,5
14,赛尔号,3,3
15,逆天,3,1
16,被撅力,3,3
17,哥哥加油,3,5
18,黑幕,3,3
19,辣子鸡组合,3,4
20,坤哥加油,3,5
21,蚌埠住了,3,3
22,泰酷辣,3,3
23,公公嗦了蒜,3,2
24,触电了,2,3
25,坤坤不能输,2,1
26,触电即答,2,2
27,笑死,2,2
28,辣鸡组合,2,4
29,199,2,3
30,坤坤加油,2,5
31,双厨狂喜,2,4
32,丁泽仁震怒,2,2
33,这根本难不倒他,2,1
34,焯出包,2,3
35,难绷,2,3
36,我超常,2,3
37,新英雄强势期,2,5
38,鸽鸽加油,2,5
39,我超少战,2,3
40,练习生内战,2,3
41,省流只因你太酷,2,3
42,加油鸽鸽,2,2
43,少战,2,3
44,根本难不倒它,2,1
45,内幕,2,5
46,根据答案出题目,2,5
47,蛇了,2,4
48,辣子鸡,2,3
49,等一下真的有吗,2,3
50,有黑幕,2,3
51,打嗝好棒哦,2,5
52,太酷辣,2,3
53,三连只因,2,2
54,问到擅长的了,2,2
55,鸡你太裤,2,3
56,不愧是学化学的,2,5
57,合作答题,2,0
58,肢体语言,2,4
59,库拉拉少战狂喜,1,3
60,丁泽仁怎么被抛弃了,1,3
61,鸡督教,1,3
62,坤坤铁山靠靠累了吧,1,2
63,坤哥要赢,1,4
64,坤哥你要赢,1,4
65,基督再临,1,2
66,可以,1,3
67,抽人柱力,1,2
68,这个,1,3
69,mad 离谱,1,2
70,鸡你泰裤,1,3
71,根本难不倒她,1,1
72,暴太郎战队,1,2
73,三   太   子,1,1
74,byd抽尾兽是吧,1,2
75,加油坤坤,1,2
76,Minecraft,1,3
77,双厨震惊,1,3
78,接受不了坤坤输了,1,4
79,都特么小丑,1,2
80,泰裤拉,1,2
81,吉他漏电了,1,2
82,没有这种东西罢恼,1,3
83,泰国辣咖喱鸡,1,3
84,标题没绷住,1,1
85,以身做责,1,1
86,传送0004,1,2
87,传送0003,1,2
88,传送0002,1,2
89,四连对,1,3
90,盲猜答案有泰国,1,5
91,排列組合,1,1
92,鸡教,1,3
93,同款发色还同款眼线,1,1
94,你是魔鬼吗2333,1,3
95,太吊了,1,1
96,最好是在抽尾兽,1,2
97,出包王女,1,5
98,k dash,1,4
99,答题区UP主,1,2
100,母语优势,1,2
101,库拉拉,1,3
102,卧槽 有病,1,2
103,不允许 坤坤怎么会输,1,4
104,太美vs太酷,1,4
105,专业玩家,1,1
106,WC,1,3
107,超级加辈,1,2
108,解除封印,1,1
109,蛙趣少战你币有了,1,3
110,小鬼,1,3
111,组合技,1,5
112,应该是刷鸡笼,1,0
113,多动症的屑坤坤,1,4
114,唯一的姐不服,1,0
115,少战太不容易了,1,1
116,鬼妹VS稚兄弟,1,4
117,终究还是来了,1,5
118,荒谬,1,1
119,行动即证明,1,2
120,照着弹孔画靶子,1,2
121,鸡你太裤辣,1,3
122,根据答案提出问题,1,3
123,神他妈被吸取尾兽,1,0
124,根据答案出题系列,1,5
125,这不让丁泽仁来,1,1
126,哥哥没赢三角梅了,1,5
127,雷电法王,1,5
128,结算画面,1,0
129,让我家咯咯赢,1,5
130,一个一个一个,1,2
131,我生日诶,1,2
132,笑的想死,1,3
133,992,1,3
134,笑抽筋了,1,5
135,华晨宇附体,1,2
136,原来如此,1,3
137,差评坤坤居然输了,1,0
138,前队友の客串,1,0
139,不愧是学化学,1,5
140,前皇,1,4
141,小鬼也配,1,3
142,坤坤逆风了呜呜呜,1,2
143,坤教,1,2
144,旗鼓相当,1,3
145,刷怪笼,1,4
146,来了铁山靠,1,3
147,凡人也妄想对抗神明,1,2
148,鸡冻鬼泣系列,1,4
149,我家哥哥必赢,1,5
150,现场表演,1,2
151,捣蛋鬼,1,5
152,我的生日,1,3
153,鸡叫确信,1,4
154,刷鸡笼,1,0
155,公公唆了蒜不是,1,1
156,专业,1,3
157,根据答案出问题,1,4
158,三年级幻听,1,5
159,蔡徐坤累死了,1,3
160,牛逼xswl,1,4
161,抽了,1,1
162,本人没毛病吧,1,2
163,抽取尾兽,1,1
164,凡人岂敢对神明,1,0
165,太草了,1,3
166,现场奖励自己,1,1
167,牛咱就是说,1,3
168,什么B玩意,1,0
169,奖励自己,1,3
170,三剑客,1,1
171,不言自明是吧,1,1
172,卧龙凤雏,1,2
173,排列组合,1,2
174,三连打无端联想,1,1
175,这个真的难绷,1,3
176,直接演示,1,5
177,我生日即答,1,3
178,坤哥跳累了吧,1,3
179,菈菈好评,1,2
180,跟哥哥没得比,1,5
181,合击绝技,1,2
182,竟然放出包王女,1,3
183,从未关注但从未错过,1,5
184,哦是你呀,1,3
185,神tm刷怪笼,1,4
186,百万粉丝啦,1,5
187,被奖励了,1,3
188,我超云,1,3
189,省流泰裤赢辣,1,4
190,只因你太裤,1,2
191,一百万,1,3
192,鸡哥的地位被撼动了,1,3
193, 多动症doge,1,4
194,裂开,1,1
195,鸽鸽没赢差评,1,0
196,受不了了,1,1
197,黑幕黑幕,1,2
198,这个基督真绷不住,1,2
199,常长老们你游出息了,1,2
200,迪达拉,1,3
201,他也是练习生,1,3
202,自己炉,1,1
203,rnm退钱,1,0
