,0
0,对不起，第一次看到这个视频我划走了，现在我回来了
1,火了赞我
2,四针扎没了一个天才少年
3,从苦难者身上汲取力量，又有谁去在意苦难者的苦难？
4,昨天晚上班主任刚在班里面放过，今天回来就刷到了？！
5,《人生海海》的感觉
6,没绷住
7,二舅是一位伟大的“中医”，治好了千万人恐惧、担忧、自卑、孤独的心理疾病。
8,火去视频号儿了都！衣戈强！！
9,我第一次见到如此恐怖的硬币数
10,为小侄子点赞
11,太棒了 我因此回答了60+问题
12,一键三连数疯狂上涨
13,我就不三连了啊，先去投俩币再点赞收藏
14,这段有种余华的感觉
15,《看会了》
16,欢迎来到币比赞多系列
17,为二舅献上人生第一个一键三连
18,第一次见那么多人观看
19,看第一遍懵懂，第二遍触动，第三遍敬仰、感动
20,敬二舅
21,popping或者poppin，不是poping
22,欢迎观看2022年b站最佳视频
23,2022年最伟大的作品
24,他大舅他二舅都是他舅，高桌子低板凳都是木头
25,1200一条烟
26,我觉得不如用土方法……
27,二舅的针 是什么针？
28,希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。
29,大家奋斗不是为了像二舅一样吃苦，取得胜利是精神和物质的双重丰收，而不是无奈的自我升华。
30,二舅与姥姥的故事由此开始...
31,感觉河北邯郸
32,回湖南32天，决定了我的基本路线
33,夜里两点九千加在看！
34,残废的二舅是最快乐的人，讽刺不讽刺？
35,要愤怒，不要沉默
36,敬二舅！！！[666]谢谢作者拍摄与分享，你写的关于“遗憾”的结语，很受用！！
37,真是一个让人感到绝望的视频！
38,年度宝藏视频！！直接封神之作
39,回来点个三连
40,入站必刷
41,敬二舅。
42,敬二舅！
43,可恶，为什么一个视频只能投两个币
44,苦难无法治愈苦难，二舅苦难的根源是什么
45,不要打扰二舅！
46,欢迎来到币比赞多系列
47,这个视频很可能，变成点赞量和硬币量最多的视频
48,敬二舅
49,见证二舅打破全站投币量记录
50,看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活
51,啊                                                                                                这
52,不要美化苦难
53,有没有可能拍一集 刚刚
54,菜根谭推荐一下，随遇而安，逆来顺受，不思过往，不念将来。
55,敬二舅
56,敬二舅
57,敬二舅
58,回湖南32天，决定了我的基本路线
59,敬二舅
60,姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容
61,低保呢？农合呢？有没有？
62,尊唐
63,美化苦难就是吃人
64,二舅，其实就是每一个勤劳朴实顽强平凡的父母的缩影。
65,太感人了！平凡中的伟大。
66,看了好几次了，真的很感人
67,有没有导演比较心动的，搞一部《我的二舅》电视剧。可能估计现在这年头没人愿意拍这种生活片吧
68,入站必刷入站必刷入站必刷
69,敬二舅
70,致敬二舅，感谢作者！
71,《活着》
72,致敬二舅
73,929
74,敬二舅
75,？
76,。。
77,敬二舅
78,  q。                   
79,敬二舅
80,敬二舅
81,敬二舅
82,up很棒 也敬二舅
83,币比赞多系列！
84,致敬二舅
85,敬二舅
86,敬二舅
87,一天不看浑身难受
88,看了好几遍啦啦啦啦啦啦
89,二舅的真实想法呢，哪怕说句话也好啊。
90,我的天，七百万
91,敬二舅
92,三刷了
93,8.8万＋的人都出来！
94,你精神内耗，是因为真有人骑在你头上作威作福
95,"“但凡读过书的都知道理应痛斥，凭己所学，为不公之人谋一个公平"""
96,强烈要求进入必看视频
97,敬二舅!
98,现在独生子女没有了七大姑八大姨，该高兴还是该悲哀
99,敬二舅
100,敬二舅
101,所以二舅有你，他注定要名扬天下，无论以何种方式～
102,一刷给视频，二刷给二舅。三刷给网友
103,恭喜你发现宝藏
104,在其他地方看过，特意来b站一键三连的
105,反复观看反复感动
106,敬二舅
107,他曲着的腿上，坐的是和老人一模一样的神，和整个村子守望相助
108,逻辑好像不太通啊，大兄弟
109,再来亿遍
110,"""当埋怨自己没鞋穿的时候，却发现还有人没有脚。"""
111,敬二舅
112,敬二舅
113,弹幕
114,敬二舅
115,二万多的人都出来吧
116,看到点在进来的给我点个赞
